Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Prelim. Round | Leg 1,(Wed) 31 Aug 1966 (W35),Waterford AFC › IRL (1),1-6,0-0,ASK Vorwarts Berlin › GER (1),,,
Round 1 | Leg 1,(Wed) 7 Sep 1966 (W36),Admira Wien › AUT (1),0-1,0-0,Vojvodina › SRB (1),,,
Round 1 | Leg 1,(Wed) 7 Sep 1966 (W36),Aris Bonnevoie › LUX (1),3-3,1-2,Linfield › NIR (1),,,
Prelim. Round | Leg 2,(Wed) 7 Sep 1966 (W36),ASK Vorwarts Berlin › GER (2),6-0,0-0,Waterford AFC › IRL (2),12-1 (agg.),,
Prelim. Round | Leg 1,(Wed) 7 Sep 1966 (W36),Sliema Wanderers › MLT (1),1-2,0-0,CSKA Sofia › BUL (1),,,
Round 1 | Leg 1,(Wed) 7 Sep 1966 (W36),KR Reykjavik › ISL (1),2-3,1-2,FC Nantes › FRA (1),,,
Round 1 | Leg 2,(Wed) 14 Sep 1966 (W37),Linfield › NIR (2),6-1,3-0,Aris Bonnevoie › LUX (2),9-4 (agg.),,
Prelim. Round | Leg 2,(Wed) 14 Sep 1966 (W37),CSKA Sofia › BUL (2),6-0,0-0,Sliema Wanderers › MLT (2),8-1 (agg.),,
Round 1 | Leg 1,(Wed) 14 Sep 1966 (W37),Haka Valkeakoski › FIN (1),1-10,1-7,RSC Anderlecht › BEL (1),,,
Round 1 | Leg 2,(Tue) 20 Sep 1966 (W38),Vojvodina › SRB (2),0-0,0-0,Admira Wien › AUT (2),1-0 (agg.),,
Round 1 | Leg 1,(Tue) 20 Sep 1966 (W38),TSV 1860 Munchen › GER (1),8-0,5-0,Omonia Nicosia › CYP (1),,,
Round 1 | Leg 2,(Sun) 25 Sep 1966 (W38),Omonia Nicosia › CYP (2),1-2,0-1,TSV 1860 Munchen › GER (2),1-10 (agg.),,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),Gornik Zabrze › POL (1),2-1,1-0,ASK Vorwarts Berlin › GER (3),,,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),Liverpool FC › ENG (1),2-0,0-0,Petrolul Ploiesti › ROU (1),,,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),AFC Ajax › NED (1),2-0,1-0,Beşiktaş İstanbul JK › TUR (1),,,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),Malmo FF › SWE (1),0-2,0-2,Atletico Madrid › ESP (1),,,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),Celtic FC › SCO (1),2-0,0-0,FC Zurich › SUI (1),,,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),CSKA Sofia › BUL (3),3-1,0-1,Olympiacos › GRE (1),,,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),Esbjerg fB › DEN (1),0-2,0-0,Dukla Praha › CZE (1),,,
Round 1 | Leg 2,(Wed) 28 Sep 1966 (W39),RSC Anderlecht › BEL (2),2-0,1-0,Haka Valkeakoski › FIN (2),12-1 (agg.),,
Round 1 | Leg 1,(Wed) 28 Sep 1966 (W39),Internazionale › ITA (1),1-0,0-0,Torpedo Moskva › RUS (1),,,
Round 1 | Leg 2,(Tue) 4 Oct 1966 (W40),Dukla Praha › CZE (2),4-0,2-0,Esbjerg fB › DEN (2),6-0 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1966 (W40),Beşiktaş İstanbul JK › TUR (2),1-2,0-0,AFC Ajax › NED (2),1-4 (agg.),,
Round 1 | Leg 1,(Wed) 5 Oct 1966 (W40),Budapesti Vasas › HUN (1),5-0,1-0,Sporting CP › POR (1),,,
Round 1 | Leg 2,(Wed) 5 Oct 1966 (W40),FC Zurich › SUI (2),0-3,0-2,Celtic FC › SCO (2),0-5 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1966 (W40),Olympiacos › GRE (2),1-0,1-0,CSKA Sofia › BUL (4),2-3 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1966 (W40),FC Nantes › FRA (2),5-2,3-0,KR Reykjavik › ISL (2),8-4 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1966 (W41),ASK Vorwarts Berlin › GER (4),2-1,2-1,Gornik Zabrze › POL (2),3-3 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1966 (W41),Petrolul Ploiesti › ROU (2),3-1,1-0,Liverpool FC › ENG (2),3-3 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1966 (W41),Atletico Madrid › ESP (2),3-1,1-1,Malmo FF › SWE (2),5-1 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1966 (W41),Sporting CP › POR (2),0-2,0-0,Budapesti Vasas › HUN (2),0-7 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1966 (W41),Torpedo Moskva › RUS (2),0-0,0-0,Internazionale › ITA (2),0-1 (agg.),,
Round 1 | Replay,(Wed) 19 Oct 1966 (W42),Liverpool FC › ENG (3),2-0,2-0,Petrolul Ploiesti › ROU (3),,,
Round of 16 | Leg 1,(Tue) 25 Oct 1966 (W43),Valerenga IF › NOR (1),1-4,1-4,Linfield › NIR (3),,,
Round 1 | Replay,(Wed) 26 Oct 1966 (W43),Gornik Zabrze › POL (3),3-1,2-0,ASK Vorwarts Berlin › GER (5),,,
Round of 16 | Leg 2,(Tue) 8 Nov 1966 (W45),Linfield › NIR (4),1-1,1-0,Valerenga IF › NOR (2),5-2 (agg.),,
Round of 16 | Leg 1,(Wed) 16 Nov 1966 (W46),Vojvodina › SRB (3),3-1,1-0,Atletico Madrid › ESP (3),,,
Round of 16 | Leg 1,(Wed) 16 Nov 1966 (W46),Internazionale › ITA (3),2-1,0-0,Budapesti Vasas › HUN (3),,,
