Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round of 16 | Leg 1,(Thu) 17 Nov 1966 (W46),Dukla Praha › CZE (3),4-1,2-1,RSC Anderlecht › BEL (3),,,
Round of 16 | Leg 1,(Thu) 17 Nov 1966 (W46),TSV 1860 Munchen › GER (3),1-0,1-0,Real Madrid CF › ESP (1),,,
Round of 16 | Leg 1,(Wed) 23 Nov 1966 (W47),CSKA Sofia › BUL (5),4-0,2-0,Gornik Zabrze › POL (4),,,
Round of 16 | Leg 1,(Wed) 30 Nov 1966 (W48),FC Nantes › FRA (3),1-3,1-1,Celtic FC › SCO (3),,,
Round of 16 | Leg 2,(Wed) 30 Nov 1966 (W48),Real Madrid CF › ESP (2),3-1,2-1,TSV 1860 Munchen › GER (4),3-2 (agg.),,
Round of 16 | Leg 1,(Wed) 7 Dec 1966 (W49),AFC Ajax › NED (3),5-1,4-0,Liverpool FC › ENG (4),,,
Round of 16 | Leg 2,(Wed) 7 Dec 1966 (W49),Celtic FC › SCO (4),3-1,1-1,FC Nantes › FRA (4),6-2 (agg.),,
Round of 16 | Leg 2,(Wed) 7 Dec 1966 (W49),Gornik Zabrze › POL (5),3-0,3-0,CSKA Sofia › BUL (6),3-4 (agg.),,
Round of 16 | Leg 2,(Wed) 7 Dec 1966 (W49),RSC Anderlecht › BEL (4),1-2,0-1,Dukla Praha › CZE (4),2-6 (agg.),,
Round of 16 | Leg 2,(Thu) 8 Dec 1966 (W49),Budapesti Vasas › HUN (4),0-2,0-1,Internazionale › ITA (4),1-4 (agg.),,
Round of 16 | Leg 2,(Wed) 14 Dec 1966 (W50),Atletico Madrid › ESP (4),2-0,2-0,Vojvodina › SRB (4),3-3 (agg.),,
Round of 16 | Leg 2,(Wed) 14 Dec 1966 (W50),Liverpool FC › ENG (5),2-2,0-0,AFC Ajax › NED (4),3-7 (agg.),,
Round of 16 | Replay,(Wed) 21 Dec 1966 (W51),Atletico Madrid › ESP (5),2-2 (*),2-1,Vojvodina › SRB (5),,2-3 (a.e.t.),
Quarterfinals | Leg 1,(Wed) 15 Feb 1967 (W7),Internazionale › ITA (5),1-0,0-0,Real Madrid CF › ESP (3),,,
Quarterfinals | Leg 1,(Wed) 1 Mar 1967 (W9),AFC Ajax › NED (5),1-1,0-0,Dukla Praha › CZE (5),,,
Quarterfinals | Leg 1,(Wed) 1 Mar 1967 (W9),Vojvodina › SRB (6),1-0,0-0,Celtic FC › SCO (5),,,
Quarterfinals | Leg 1,(Wed) 1 Mar 1967 (W9),Linfield › NIR (5),2-2,2-1,CSKA Sofia › BUL (7),,,
Quarterfinals | Leg 2,(Wed) 1 Mar 1967 (W9),Real Madrid CF › ESP (4),0-2,0-1,Internazionale › ITA (6),0-3 (agg.),,
Quarterfinals | Leg 2,(Wed) 8 Mar 1967 (W10),Dukla Praha › CZE (6),2-1,0-0,AFC Ajax › NED (6),3-2 (agg.),,
Quarterfinals | Leg 2,(Wed) 8 Mar 1967 (W10),Celtic FC › SCO (6),2-0,0-0,Vojvodina › SRB (7),2-1 (agg.),,
Quarterfinals | Leg 2,(Wed) 15 Mar 1967 (W11),CSKA Sofia › BUL (8),1-0,0-0,Linfield › NIR (6),3-2 (agg.),,
Semifinals | Leg 1,(Wed) 12 Apr 1967 (W15),Celtic FC › SCO (7),3-1,1-1,Dukla Praha › CZE (7),,,
Semifinals | Leg 1,(Wed) 19 Apr 1967 (W16),Internazionale › ITA (7),1-1,1-0,CSKA Sofia › BUL (9),,,
Semifinals | Leg 2,(Tue) 25 Apr 1967 (W17),Dukla Praha › CZE (8),0-0,0-0,Celtic FC › SCO (8),1-3 (agg.),,
Semifinals | Leg 2,(Wed) 26 Apr 1967 (W17),CSKA Sofia › BUL (10),1-1,0-0,Internazionale › ITA (8),2-2 (agg.),,
Semifinals | Replay,(Wed) 3 May 1967 (W18),Internazionale › ITA (9),1-0,1-0,CSKA Sofia › BUL (11),,,
Final,(Thu) 25 May 1967 (W21),Celtic FC › SCO (9),2-1,0-0,Internazionale › ITA (10),,,
