Stage,Round,Leg,Group,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
,Preliminary Round,1,,(Wed) 25 Aug 1982 (W34),Dinamo Bucuresti (1),3-1,0-0,Valerenga IF (1),,,ROU,NOR
,Preliminary Round,2,,(Wed) 1 Sep 1982 (W35),Valerenga IF (2),2-1,0-0,Dinamo Bucuresti (2),,,NOR,ROU
,Round 1,1,,(Tue) 14 Sep 1982 (W37),Dundalk (1),1-4,0-3,Liverpool FC (1),,,IRL,ENG
,Round 1,1,,(Wed) 15 Sep 1982 (W37),KF Tirana (1),1-0,0-0,Linfield (1),,,ALB,NIR
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Celtic FC (1),2-2,2-2,AFC Ajax (1),,,SCO,NED
,Round 1,1,,(Wed) 15 Sep 1982 (W37),AS Monaco (1),0-0,0-0,CSKA Sofia (1),,,FRA,BUL
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Aston Villa FC (1),3-1,3-0,Beşiktaş İstanbul JK (1),,,ENG,TUR
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Avenir Beggen (1),0-5,0-3,Rapid Wien (1),,,LUX,AUT
,Round 1,1,,(Wed) 15 Sep 1982 (W37),BFC Dynamo (1),1-1,1-1,Hamburger SV (1),,,GER,GER
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Dinamo Bucuresti (3),2-0,1-0,Dukla Praha (1),,,ROU,CZE
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Grasshoppers Zurich (1),0-1,0-0,Dinamo Kiev (1),,,SUI,UKR
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Dinamo Zagreb (1),1-0,0-0,Sporting CP (1),,,CRO,POR
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Hibernians (1),1-4,0-2,Widzew Lodz (1),,,MLT,POL
,Round 1,1,,(Wed) 15 Sep 1982 (W37),Omonia Nicosia (1),2-0,1-0,HJK Helsinki (1),,,CYP,FIN
