Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Sun) 26 Aug 1962 (W34),IFK Norrkoping › SWE (1),2-0,0-0,FK Partizani Tirana › ALB (1),3-1 (agg.),,
Round 1 | Leg 1,(Wed) 5 Sep 1962 (W36),Austria Wien › AUT (1),5-3,2-2,Helsingfors IFK › FIN (1),7-3 (agg.),,
Round 1 | Leg 1,(Wed) 5 Sep 1962 (W36),Fredrikstad FK › NOR (1),1-4,0-0,Budapesti Vasas › HUN (1),1-11 (agg.),,
Round 1 | Leg 1,(Wed) 5 Sep 1962 (W36),Dundee FC › SCO (1),8-1,5-0,Koln › GER (1),8-5 (agg.),,
Round 1 | Leg 1,(Wed) 5 Sep 1962 (W36),Linfield › NIR (1),1-2,1-2,Esbjerg fB › DEN (1),1-2 (agg.),,
Round 1 | Leg 1,(Wed) 5 Sep 1962 (W36),Real Madrid CF › ESP (1),3-3,2-2,RSC Anderlecht › BEL (1),3-4 (agg.),,
Round 1 | Leg 1,(Sun) 9 Sep 1962 (W36),Dinamo Bucuresti › ROU (1),1-1,0-0,Galatasaray İstanbul AŞ › TUR (1),1-4 (agg.),,
Round 1 | Leg 1,(Wed) 12 Sep 1962 (W37),AC Milan › ITA (1),8-0,6-0,Union Luxembourg › LUX (1),14-0 (agg.),,
Round 1 | Leg 1,(Wed) 12 Sep 1962 (W37),Servette Geneve › SUI (1),1-3,1-1,Feyenoord Rotterdam › NED (1),5-5 (agg.),,
Round 1 | Leg 1,(Wed) 12 Sep 1962 (W37),Polonia Bytom › POL (1),2-1,1-1,Panathinaikos FC › GRE (1),6-2 (agg.),,
Round 1 | Leg 2,(Wed) 12 Sep 1962 (W37),FK Partizani Tirana › ALB (2),1-1,0-1,IFK Norrkoping › SWE (2),1-3 (agg.),,
Round 1 | Leg 2,(Sun) 16 Sep 1962 (W37),Galatasaray İstanbul AŞ › TUR (2),3-0,1-0,Dinamo Bucuresti › ROU (2),4-1 (agg.),,
Round 1 | Leg 2,(Wed) 19 Sep 1962 (W38),Esbjerg fB › DEN (2),0-0,0-0,Linfield › NIR (2),2-1 (agg.),,
Round 1 | Leg 2,(Wed) 19 Sep 1962 (W38),Union Luxembourg › LUX (2),0-6,0-4,AC Milan › ITA (2),0-14 (agg.),,
Round 1 | Leg 1,(Wed) 19 Sep 1962 (W38),CDNA Sofia › BUL (1),2-1,2-1,Partizan Belgrade › SRB (1),6-2 (agg.),,
Round 1 | Leg 2,(Wed) 19 Sep 1962 (W38),Koln › GER (2),4-0,3-0,Dundee FC › SCO (2),5-8 (agg.),,
Round 1 | Leg 2,(Wed) 19 Sep 1962 (W38),Feyenoord Rotterdam › NED (2),1-3,0-2,Servette Geneve › SUI (2),5-5 (agg.),,
Round 1 | Leg 1,(Wed) 19 Sep 1962 (W38),Floriana › MLT (1),1-4,0-2,Ipswich Town FC › ENG (1),1-14 (agg.),,
Round 1 | Leg 2,(Wed) 19 Sep 1962 (W38),Panathinaikos FC › GRE (2),1-4,1-2,Polonia Bytom › POL (2),2-6 (agg.),,
Round 1 | Leg 2,(Wed) 19 Sep 1962 (W38),RSC Anderlecht › BEL (2),1-0,0-0,Real Madrid CF › ESP (2),4-3 (agg.),,
Round 1 | Leg 1,(Wed) 19 Sep 1962 (W38),Shelbourne › IRL (1),0-2,0-1,Sporting CP › POR (1),1-7 (agg.),,
Round 1 | Leg 2,(Wed) 19 Sep 1962 (W38),Budapesti Vasas › HUN (2),7-0,5-0,Fredrikstad FK › NOR (2),11-1 (agg.),,
Round 1 | Leg 2,(Tue) 25 Sep 1962 (W39),Ipswich Town FC › ENG (2),10-0,6-0,Floriana › MLT (2),14-1 (agg.),,
Round 1 | Leg 1,(Wed) 26 Sep 1962 (W39),ASK Vorwarts Berlin › GER (1),0-3,0-1,Dukla Praha › CZE (1),0-4 (agg.),,
Round 1 | Leg 2,(Wed) 26 Sep 1962 (W39),Helsingfors IFK › FIN (2),0-2,0-0,Austria Wien › AUT (2),3-7 (agg.),,
Round 1 | Leg 2,(Wed) 26 Sep 1962 (W39),Sporting CP › POR (2),5-1,2-0,Shelbourne › IRL (2),7-1 (agg.),,
Round 1 | Leg 2,(Wed) 3 Oct 1962 (W40),Dukla Praha › CZE (2),1-0,0-0,ASK Vorwarts Berlin › GER (2),4-0 (agg.),,
Round 1 | Leg 2,(Wed) 3 Oct 1962 (W40),Partizan Belgrade › SRB (2),1-4,0-1,CDNA Sofia › BUL (2),2-6 (agg.),,
Round 1 | Replay,(Wed) 17 Oct 1962 (W42),Feyenoord Rotterdam › NED (3),1-1 (*),0-1,Servette Geneve › SUI (3),5-5 (agg.),3-1 (a.e.t.),
Round of 16 | Leg 1,(Thu) 18 Oct 1962 (W42),Austria Wien › AUT (3),3-2,2-1,Stade Reims › FRA (1),3-7 (agg.),,
Round of 16 | Leg 1,(Wed) 24 Oct 1962 (W43),CDNA Sofia › BUL (3),2-2,0-0,RSC Anderlecht › BEL (3),2-4 (agg.),,
Round of 16 | Leg 1,(Wed) 24 Oct 1962 (W43),Sporting CP › POR (3),1-0,0-0,Dundee FC › SCO (3),2-4 (agg.),,
