Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Tue) 16 Sep 1975 (W37),CSKA Sofia › BUL (1),2-1,0-1,Juventus › ITA (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),SK Slovan Bratislava › SVK (1),1-0,0-0,Derby County FC › ENG (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Ujpesti Dozsa SC › HUN (1),4-0,2-0,FC Zurich › SUI (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),KB Kobenhavn › DEN (1),0-2,0-0,AS Saint-Etienne › FRA (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Jeunesse Esch › LUX (1),0-5,0-2,Bayern München › GER (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Rangers FC › SCO (1),4-1,2-1,Bohemians › IRL (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Borussia Monchengladbach › GER (1),1-1,0-1,SSW Innsbruck › AUT (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Malmo FF › SWE (1),2-1,1-0,Magdeburg › GER (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Real Madrid CF › ESP (1),4-1,1-0,Dinamo Bucuresti › ROU (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Olympiacos › GRE (1),2-2,1-2,Dinamo Kiev › UKR (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),SL Benfica › POR (1),7-0,3-0,Fenerbahçe İstanbul SK › TUR (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Floriana › MLT (1),0-5,0-1,Hajduk Split › CRO (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Ruch Chorzow › POL (1),5-0,3-0,Kuopion PS › FIN (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),Linfield › NIR (1),1-2,1-2,PSV Eindhoven › NED (1),,,,
Round 1 | Leg 1,(Wed) 17 Sep 1975 (W37),RWD Molenbeek › BEL (1),3-2,1-1,Viking FK › NOR (1),,,,
Round 1 | Leg 1,(Sun) 21 Sep 1975 (W37),Omonia Nicosia › CYP (1),2-1,0-1,IA Akranes › ISL (1),,,,
Round 1 | Leg 2,(Sun) 28 Sep 1975 (W38),IA Akranes › ISL (2),4-0,1-0,Omonia Nicosia › CYP (2),5-2 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Juventus › ITA (2),2-0,1-0,CSKA Sofia › BUL (2),3-2 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),FC Zurich › SUI (2),5-1,4-0,Ujpesti Dozsa SC › HUN (2),5-5 (agg.),,,away goals
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),AS Saint-Etienne › FRA (2),3-1,2-0,KB Kobenhavn › DEN (2),5-1 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Bayern München › GER (2),3-1,1-0,Jeunesse Esch › LUX (2),8-1 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Bohemians › IRL (2),1-1,0-1,Rangers FC › SCO (2),2-5 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),SSW Innsbruck › AUT (2),1-6,1-1,Borussia Monchengladbach › GER (2),2-7 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Magdeburg › GER (2),2-1 (*),1-0,Malmo FF › SWE (2),3-3 (agg.),2-1 (a.e.t.),1-2 (pen.),
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Derby County FC › ENG (2),3-0,1-0,SK Slovan Bratislava › SVK (2),3-1 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Dinamo Bucuresti › ROU (2),1-0,1-0,Real Madrid CF › ESP (2),2-4 (agg.),,,
