Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Sun) 4 Sep 1955 (W35),Sporting CP › POR (1),3-3,1-1,Partizan Belgrade › SRB (1),,,
Round 1 | Leg 1,(Wed) 7 Sep 1955 (W36),Budapesti Voros Lobogo › HUN (1),6-3,3-2,RSC Anderlecht › BEL (1),,,
Round 1 | Leg 1,(Thu) 8 Sep 1955 (W36),Servette Geneve › SUI (1),0-2,0-0,Real Madrid CF › ESP (1),,,
Round 1 | Leg 1,(Wed) 14 Sep 1955 (W37),Rot-Weiss Essen › GER (1),0-4,0-2,Hibernian FC › SCO (1),,,
Round 1 | Leg 1,(Tue) 20 Sep 1955 (W38),Djurgardens IF › SWE (1),0-0,0-0,Gwardia Warszawa › POL (1),,,
Round 1 | Leg 1,(Wed) 21 Sep 1955 (W38),Rapid Wien › AUT (1),6-1,1-1,PSV Eindhoven › NED (1),,,
Round 1 | Leg 1,(Wed) 21 Sep 1955 (W38),Aarhus GF › DEN (1),0-2,0-1,Stade Reims › FRA (1),,,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Partizan Belgrade › SRB (2),5-2,2-0,Sporting CP › POR (2),8-5 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Hibernian FC › SCO (2),1-1,1-0,Rot-Weiss Essen › GER (2),5-1 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Real Madrid CF › ESP (2),5-0,2-0,Servette Geneve › SUI (2),7-0 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1955 (W41),Gwardia Warszawa › POL (2),1-4,1-4,Djurgardens IF › SWE (2),1-4 (agg.),,
Round 1 | Leg 2,(Wed) 19 Oct 1955 (W42),RSC Anderlecht › BEL (2),1-4,1-1,Budapesti Voros Lobogo › HUN (2),4-10 (agg.),,
Round 1 | Leg 2,(Wed) 26 Oct 1955 (W43),Stade Reims › FRA (2),2-2,0-0,Aarhus GF › DEN (2),4-2 (agg.),,
Round 1 | Leg 1,(Tue) 1 Nov 1955 (W44),AC Milan › ITA (1),3-4,3-2,1. FC Saarbrücken › GER (1),,,
Round 1 | Leg 2,(Tue) 1 Nov 1955 (W44),PSV Eindhoven › NED (2),1-0,1-0,Rapid Wien › AUT (2),2-6 (agg.),,
Round 1 | Leg 2,(Wed) 23 Nov 1955 (W47),1. FC Saarbrücken › GER (2),1-4,1-1,AC Milan › ITA (2),5-7 (agg.),,
Quarterfinals | Leg 1,(Wed) 23 Nov 1955 (W47),Djurgardens IF › SWE (3),1-3,1-1,Hibernian FC › SCO (3),,,
Quarterfinals | Leg 2,(Mon) 28 Nov 1955 (W48),Hibernian FC › SCO (4),1-0,0-0,Djurgardens IF › SWE (4),4-1 (agg.),,
Quarterfinals | Leg 1,(Wed) 14 Dec 1955 (W50),Stade Reims › FRA (3),4-2,3-1,Budapesti Voros Lobogo › HUN (3),,,
Quarterfinals | Leg 1,(Sun) 25 Dec 1955 (W51),Real Madrid CF › ESP (3),4-0,3-0,Partizan Belgrade › SRB (3),,,
Quarterfinals | Leg 2,(Wed) 28 Dec 1955 (W52),Budapesti Voros Lobogo › HUN (4),4-4,1-3,Stade Reims › FRA (4),6-8 (agg.),,
Quarterfinals | Leg 1,(Wed) 18 Jan 1956 (W3),Rapid Wien › AUT (3),1-1,1-1,AC Milan › ITA (3),,,
Quarterfinals | Leg 2,(Sun) 29 Jan 1956 (W4),Partizan Belgrade › SRB (4),3-0,1-0,Real Madrid CF › ESP (4),3-4 (agg.),,
Quarterfinals | Leg 2,(Sun) 12 Feb 1956 (W6),AC Milan › ITA (4),7-2,3-1,Rapid Wien › AUT (4),8-3 (agg.),,
Semifinals | Leg 1,(Wed) 4 Apr 1956 (W14),Stade Reims › FRA (5),2-0,0-0,Hibernian FC › SCO (5),,,
Semifinals | Leg 2,(Wed) 18 Apr 1956 (W16),Hibernian FC › SCO (6),0-1,0-0,Stade Reims › FRA (6),0-3 (agg.),,
Semifinals | Leg 1,(Thu) 19 Apr 1956 (W16),Real Madrid CF › ESP (5),4-2,3-2,AC Milan › ITA (5),,,
Semifinals | Leg 2,(Tue) 1 May 1956 (W18),AC Milan › ITA (6),2-1,0-0,Real Madrid CF › ESP (6),4-5 (agg.),,
Final,(Wed) 13 Jun 1956 (W24),Real Madrid CF › ESP (7),4-3,0-0,Stade Reims › FRA (7),,,
