Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Prelim. Round | Leg 1,(Tue) 18 Aug 1970 (W33),Levski Sofia › BUL (1),3-1,0-0,Austria Wien › AUT (1),,,,
Prelim. Round | Leg 2,(Wed) 2 Sep 1970 (W35),Austria Wien › AUT (2),3-0,0-0,Levski Sofia › BUL (2),4-3 (agg.),,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Spartak Moskva › RUS (1),3-2,1-0,Basel › SUI (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Feyenoord Rotterdam › NED (1),1-1,1-1,UT Arad › ROU (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),KF Tirana › ALB (1),2-2,0-1,AFC Ajax › NED (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Cagliari Calcio › ITA (1),3-0,2-0,AS Saint-Etienne › FRA (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Atletico Madrid › ESP (1),2-0,1-0,Austria Wien › AUT (3),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),SK Slovan Bratislava › SVK (1),2-1,1-1,B 1903 Kobenhavn › DEN (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),EPA Larnaca › CYP (1),0-6,0-3,Borussia Monchengladbach › GER (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Celtic FC › SCO (1),9-0,6-0,KPV Kokkola › FIN (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Ujpesti Dozsa SC › HUN (1),2-0,0-0,Crvena Zvezda › SRB (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Everton FC › ENG (1),6-2,2-1,IB Keflavik › ISL (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Fenerbahçe İstanbul SK › TUR (1),0-4,0-1,FC Carl Zeiss Jena › GER (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Sporting CP › POR (1),5-0,4-0,Floriana › MLT (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Glentoran › NIR (1),1-3,1-1,Waterford AFC › IRL (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),IFK Goteborg › SWE (1),0-4,0-1,Legia Warsaw › POL (1),,,,
