Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Jeunesse Esch › LUX (1),1-2,1-2,Panathinaikos FC › GRE (1),,,,
Round 1 | Leg 1,(Wed) 16 Sep 1970 (W37),Rosenborg BK › NOR (1),0-2,0-1,Standard Liege › BEL (1),,,,
Round 1 | Leg 2,(Tue) 22 Sep 1970 (W38),Borussia Monchengladbach › GER (2),10-0,5-0,EPA Larnaca › CYP (2),16-0 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Basel › SUI (2),2-1,0-0,Spartak Moskva › RUS (2),4-4 (agg.),,,Away Goals (1)
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),UT Arad › ROU (2),0-0,0-0,Feyenoord Rotterdam › NED (2),1-1 (agg.),,,Away Goals (1)
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),AFC Ajax › NED (2),2-0,1-0,KF Tirana › ALB (2),4-2 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),AS Saint-Etienne › FRA (2),1-0,1-0,Cagliari Calcio › ITA (2),1-3 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Austria Wien › AUT (4),1-2,1-1,Atletico Madrid › ESP (2),1-4 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),B 1903 Kobenhavn › DEN (2),2-2,0-1,SK Slovan Bratislava › SVK (2),3-4 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),KPV Kokkola › FIN (2),0-5,0-2,Celtic FC › SCO (2),0-14 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Crvena Zvezda › SRB (2),4-0,3-0,Ujpesti Dozsa SC › HUN (2),4-2 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),IB Keflavik › ISL (2),0-3,0-2,Everton FC › ENG (2),2-9 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),FC Carl Zeiss Jena › GER (2),1-0,1-0,Fenerbahçe İstanbul SK › TUR (2),5-0 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Floriana › MLT (2),0-4,0-1,Sporting CP › POR (2),0-9 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Waterford AFC › IRL (2),1-0,0-0,Glentoran › NIR (2),4-1 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Legia Warsaw › POL (2),2-1,2-1,IFK Goteborg › SWE (2),6-1 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Panathinaikos FC › GRE (2),5-0,4-0,Jeunesse Esch › LUX (2),7-1 (agg.),,,
Round 1 | Leg 2,(Wed) 30 Sep 1970 (W39),Standard Liege › BEL (2),5-0,3-0,Rosenborg BK › NOR (2),7-0 (agg.),,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),Borussia Monchengladbach › GER (3),1-1,1-0,Everton FC › ENG (3),,,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),AFC Ajax › NED (3),3-0,2-0,Basel › SUI (3),,,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),Cagliari Calcio › ITA (3),2-1,2-0,Atletico Madrid › ESP (3),,,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),Waterford AFC › IRL (3),0-7,0-4,Celtic FC › SCO (3),,,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),Crvena Zvezda › SRB (3),3-0,1-0,UT Arad › ROU (3),,,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),FC Carl Zeiss Jena › GER (3),2-1,0-0,Sporting CP › POR (3),,,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),Standard Liege › BEL (3),1-0,0-0,Legia Warsaw › POL (3),,,,
Round of 16 | Leg 1,(Wed) 21 Oct 1970 (W42),Panathinaikos FC › GRE (3),3-0,1-0,SK Slovan Bratislava › SVK (3),,,,
Round of 16 | Leg 2,(Wed) 4 Nov 1970 (W44),Everton FC › ENG (4),1-1 (*),1-1,Borussia Monchengladbach › GER (4),2-2 (agg.),1-1 (a.e.t.),4-3 (pen.),
Round of 16 | Leg 2,(Wed) 4 Nov 1970 (W44),Basel › SUI (4),1-2,1-0,AFC Ajax › NED (4),1-5 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Nov 1970 (W44),Celtic FC › SCO (4),3-2,0-2,Waterford AFC › IRL (4),10-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Nov 1970 (W44),UT Arad › ROU (4),1-3,0-0,Crvena Zvezda › SRB (4),1-6 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Nov 1970 (W44),Sporting CP › POR (4),1-2,0-2,FC Carl Zeiss Jena › GER (4),2-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Nov 1970 (W44),Legia Warsaw › POL (4),2-0,2-0,Standard Liege › BEL (4),2-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Nov 1970 (W44),SK Slovan Bratislava › SVK (4),2-1,1-0,Panathinaikos FC › GRE (4),2-4 (agg.),,,
Round of 16 | Leg 2,(Thu) 5 Nov 1970 (W44),Atletico Madrid › ESP (4),3-0,1-0,Cagliari Calcio › ITA (4),4-2 (agg.),,,
Quarterfinals | Leg 1,(Tue) 9 Mar 1971 (W10),Everton FC › ENG (5),1-1,0-0,Panathinaikos FC › GRE (5),,,,
Quarterfinals | Leg 1,(Wed) 10 Mar 1971 (W10),Atletico Madrid › ESP (5),1-0,1-0,Legia Warsaw › POL (5),,,,
Quarterfinals | Leg 1,(Wed) 10 Mar 1971 (W10),AFC Ajax › NED (5),3-0,0-0,Celtic FC › SCO (5),,,,
Quarterfinals | Leg 1,(Wed) 10 Mar 1971 (W10),FC Carl Zeiss Jena › GER (5),3-2,2-1,Crvena Zvezda › SRB (5),,,,
Quarterfinals | Leg 2,(Wed) 24 Mar 1971 (W12),Legia Warsaw › POL (6),2-1,1-1,Atletico Madrid › ESP (6),2-2 (agg.),,,Away Goals (2)
Quarterfinals | Leg 2,(Wed) 24 Mar 1971 (W12),Panathinaikos FC › GRE (6),0-0,0-0,Everton FC › ENG (6),1-1 (agg.),,,Away Goals (1)
Quarterfinals | Leg 2,(Wed) 24 Mar 1971 (W12),Celtic FC › SCO (6),1-0,1-0,AFC Ajax › NED (6),1-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 24 Mar 1971 (W12),Crvena Zvezda › SRB (6),4-0,2-0,FC Carl Zeiss Jena › GER (6),6-3 (agg.),,,
Semifinals | Leg 1,(Wed) 14 Apr 1971 (W15),Crvena Zvezda › SRB (7),4-1,2-0,Panathinaikos FC › GRE (7),,,,
Semifinals | Leg 1,(Wed) 14 Apr 1971 (W15),Atletico Madrid › ESP (7),1-0,1-0,AFC Ajax › NED (7),,,,
Semifinals | Leg 2,(Wed) 28 Apr 1971 (W17),Panathinaikos FC › GRE (8),3-0,1-0,Crvena Zvezda › SRB (8),4-4 (agg.),,,Away Goals (1)
Semifinals | Leg 2,(Wed) 28 Apr 1971 (W17),AFC Ajax › NED (8),3-0,1-0,Atletico Madrid › ESP (8),3-1 (agg.),,,
Final,(Wed) 2 Jun 1971 (W22),AFC Ajax › NED (9),2-0,0-0,Panathinaikos FC › GRE (9),,,,
