Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Wed) 31 Aug 1960 (W35),Fredrikstad FK › NOR (1),4-3,1-2,AFC Ajax › NED (1),4-3 (agg.),,
Round 1 | Leg 1,(Wed) 31 Aug 1960 (W35),Limerick FC › IRL (1),0-5,0-0,BSC Young Boys › SUI (1),2-9 (agg.),,
Round 1 | Leg 1,(Thu) 1 Sep 1960 (W35),Helsingfors IFK › FIN (1),1-3,0-2,IFK Malmo › SWE (1),2-5 (agg.),,
Round 1 | Leg 1,(Wed) 7 Sep 1960 (W36),Stade Reims › FRA (1),6-1,3-0,Jeunesse Esch › LUX (1),11-1 (agg.),,
Round 1 | Leg 2,(Wed) 7 Sep 1960 (W36),AFC Ajax › NED (2),0-0,0-0,Fredrikstad FK › NOR (2),3-4 (agg.),,
Round 1 | Leg 1,(Wed) 14 Sep 1960 (W37),Rapid Wien › AUT (1),4-0,2-0,Beşiktaş İstanbul JK › TUR (1),4-1 (agg.),,
Round 1 | Leg 1,(Wed) 21 Sep 1960 (W38),Juventus › ITA (1),2-0,2-0,CDNA Sofia › BUL (1),3-4 (agg.),,
Round 1 | Leg 1,(Wed) 21 Sep 1960 (W38),Aarhus GF › DEN (1),3-0,1-0,Legia Warsaw › POL (1),3-1 (agg.),,
Round 1 | Leg 1,(Wed) 28 Sep 1960 (W39),FC Barcelona › ESP (1),2-0,0-0,K Lierse SK › BEL (1),5-0 (agg.),,
Round 1 | Leg 2,(Wed) 28 Sep 1960 (W39),Beşiktaş İstanbul JK › TUR (2),1-0,1-0,Rapid Wien › AUT (2),1-4 (agg.),,
Round 1 | Leg 1,(Wed) 28 Sep 1960 (W39),Crvena Zvezda › SRB (1),1-2,1-1,Ujpesti Dozsa SC › HUN (1),1-5 (agg.),,
Round 1 | Leg 2,(Wed) 28 Sep 1960 (W39),IFK Malmo › SWE (2),2-1,2-1,Helsingfors IFK › FIN (2),5-2 (agg.),,
Round 1 | Leg 1,(Thu) 29 Sep 1960 (W39),Heart of Midlothian › SCO (1),1-2,0-1,SL Benfica › POR (1),1-5 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1960 (W40),Legia Warsaw › POL (2),1-0,1-0,Aarhus GF › DEN (2),1-3 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1960 (W40),K Lierse SK › BEL (2),0-3,0-2,FC Barcelona › ESP (2),0-5 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1960 (W40),BSC Young Boys › SUI (2),4-2,1-1,Limerick FC › IRL (2),9-2 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1960 (W40),Jeunesse Esch › LUX (2),0-5,0-0,Stade Reims › FRA (2),1-11 (agg.),,
Round 1 | Leg 2,(Wed) 5 Oct 1960 (W40),SL Benfica › POR (2),3-0,1-0,Heart of Midlothian › SCO (2),5-1 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1960 (W41),CDNA Sofia › BUL (2),4-1,1-0,Juventus › ITA (2),4-3 (agg.),,
Round 1 | Leg 2,(Wed) 12 Oct 1960 (W41),Ujpesti Dozsa SC › HUN (2),3-0,0-0,Crvena Zvezda › SRB (2),5-1 (agg.),,
Round of 16 | Leg 1,(Wed) 19 Oct 1960 (W42),Aarhus GF › DEN (3),3-0,0-0,Fredrikstad FK › NOR (3),4-0 (agg.),,
Round of 16 | Leg 2,(Wed) 26 Oct 1960 (W43),Fredrikstad FK › NOR (4),0-1,0-0,Aarhus GF › DEN (4),0-4 (agg.),,
Round of 16 | Leg 1,(Wed) 2 Nov 1960 (W44),IFK Malmo › SWE (3),1-0,0-0,CDNA Sofia › BUL (3),2-1 (agg.),,
Round of 16 | Leg 1,(Wed) 2 Nov 1960 (W44),BSC Young Boys › SUI (3),0-5,0-3,Hamburger SV › GER (1),3-8 (agg.),,
Round of 16 | Leg 1,(Sun) 6 Nov 1960 (W44),DSO Spartak Hradec Kralove › CZE (1),1-0,0-0,Panathinaikos FC › GRE (1),1-0 (agg.),,
Round of 16 | Leg 1,(Tue) 8 Nov 1960 (W45),SL Benfica › POR (3),6-2,5-0,Ujpesti Dozsa SC › HUN (3),7-4 (agg.),,
Round of 16 | Leg 1,(Wed) 9 Nov 1960 (W45),Rapid Wien › AUT (3),3-1,1-1,SC Wismut Karl-Marx-Stadt › GER (1),4-3 (agg.),,
Round of 16 | Leg 1,(Wed) 9 Nov 1960 (W45),Real Madrid CF › ESP (1),2-2,2-1,FC Barcelona › ESP (3),3-4 (agg.),,
Round of 16 | Leg 2,(Sun) 13 Nov 1960 (W45),CDNA Sofia › BUL (4),1-1,1-0,IFK Malmo › SWE (4),1-2 (agg.),,
Round of 16 | Leg 1,(Wed) 16 Nov 1960 (W46),Burnley FC › ENG (1),2-0,2-0,Stade Reims › FRA (3),4-3 (agg.),,
Round of 16 | Leg 2,(Wed) 23 Nov 1960 (W47),SC Wismut Karl-Marx-Stadt › GER (2),2-0,0-0,Rapid Wien › AUT (4),3-4 (agg.),,
Round of 16 | Leg 2,(Fri) 25 Nov 1960 (W47),FC Barcelona › ESP (4),2-1,1-0,Real Madrid CF › ESP (2),4-3 (agg.),,
Round of 16 | Leg 2,(Sun) 27 Nov 1960 (W47),Hamburger SV › GER (2),3-3,1-2,BSC Young Boys › SUI (4),8-3 (agg.),,
Round of 16 | Leg 2,(Wed) 30 Nov 1960 (W48),Stade Reims › FRA (4),3-2,0-1,Burnley FC › ENG (2),3-4 (agg.),,
Round of 16 | Leg 2,(Wed) 30 Nov 1960 (W48),Ujpesti Dozsa SC › HUN (4),2-1,0-1,SL Benfica › POR (4),4-7 (agg.),,
Round of 16 | Leg 2,(Wed) 7 Dec 1960 (W49),Panathinaikos FC › GRE (2),0-0,0-0,DSO Spartak Hradec Kralove › CZE (2),0-1 (agg.),,
Round of 16 | Replay,(Wed) 21 Dec 1960 (W51),Rapid Wien › AUT (5),1-0,1-0,SC Wismut Karl-Marx-Stadt › GER (3),4-3 (agg.),,
Quarterfinals | Leg 1,(Wed) 18 Jan 1961 (W3),Burnley FC › ENG (3),3-1,1-0,Hamburger SV › GER (3),4-5 (agg.),,
Quarterfinals | Leg 1,(Wed) 8 Mar 1961 (W10),FC Barcelona › ESP (5),4-0,2-0,DSO Spartak Hradec Kralove › CZE (3),5-1 (agg.),,
Quarterfinals | Leg 1,(Wed) 8 Mar 1961 (W10),SL Benfica › POR (5),3-1,1-0,Aarhus GF › DEN (5),7-2 (agg.),,
Quarterfinals | Leg 2,(Wed) 15 Mar 1961 (W11),DSO Spartak Hradec Kralove › CZE (4),1-1,1-1,FC Barcelona › ESP (6),1-5 (agg.),,
Quarterfinals | Leg 2,(Wed) 15 Mar 1961 (W11),Hamburger SV › GER (4),4-1,2-0,Burnley FC › ENG (4),5-4 (agg.),,
Quarterfinals | Leg 1,(Wed) 22 Mar 1961 (W12),Rapid Wien › AUT (6),2-0,1-0,IFK Malmo › SWE (5),4-0 (agg.),,
Quarterfinals | Leg 2,(Thu) 30 Mar 1961 (W13),Aarhus GF › DEN (6),1-4,0-3,SL Benfica › POR (6),2-7 (agg.),,
Quarterfinals | Leg 2,(Mon) 3 Apr 1961 (W14),IFK Malmo › SWE (6),0-2,0-1,Rapid Wien › AUT (7),0-4 (agg.),,
Semifinals | Leg 1,(Wed) 12 Apr 1961 (W15),FC Barcelona › ESP (7),1-0,0-0,Hamburger SV › GER (5),3-2 (agg.),,
Semifinals | Leg 2,(Wed) 26 Apr 1961 (W17),Hamburger SV › GER (6),2-1,0-0,FC Barcelona › ESP (8),2-3 (agg.),,
Semifinals | Leg 1,(Wed) 26 Apr 1961 (W17),SL Benfica › POR (7),3-0,2-0,Rapid Wien › AUT (8),6-0 (agg.),,
Semifinals | Replay,(Wed) 3 May 1961 (W18),FC Barcelona › ESP (9),1-0,1-0,Hamburger SV › GER (7),3-2 (agg.),,
Semifinals | Leg 2,(Thu) 4 May 1961 (W18),Rapid Wien › AUT (9),0-3,0-0,SL Benfica › POR (8),0-6 (agg.),,
Final,(Wed) 31 May 1961 (W22),SL Benfica › POR (9),3-2,0-0,FC Barcelona › ESP (10),,,
