Stage,Round,Leg,Group,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),Panathinaikos FC (1),0-0,0-0,Hajduk Split (1),,,GRE,CRO
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),Dinamo Kiev (1),1-0,0-0,Aalborg BK (1),,,UKR,DEN
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),Rangers FC (1),1-0,0-0,Anorthosis Famagusta (1),,,SCO,CYP
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),Rosenborg BK (1),3-0,0-0,Beşiktaş İstanbul JK (1),,,NOR,TUR
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),RSC Anderlecht (1),0-1,0-0,Ferencvaros (1),,,BEL,HUN
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),Grasshoppers Zurich (1),1-1,0-0,Maccabi Tel Aviv (1),,,SUI,ISR
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),Legia Warsaw (1),1-0,0-0,IFK Goteborg (1),,,POL,SWE
Qualifying,Preliminary Round,,,(Wed) 9 Aug 1995 (W32),FC RB Salzburg (1),0-0,0-0,Steaua Bucuresti (1),,,AUT,ROU
Qualifying,Preliminary Round,,,(Wed) 23 Aug 1995 (W34),Hajduk Split (2),1-1,0-0,Panathinaikos FC (2),,,CRO,GRE
Qualifying,Preliminary Round,,,(Wed) 23 Aug 1995 (W34),Aalborg BK (2),1-3,0-0,Dinamo Kiev (2),,,DEN,UKR
Qualifying,Preliminary Round,,,(Wed) 23 Aug 1995 (W34),Anorthosis Famagusta (2),0-0,0-0,Rangers FC (2),,,CYP,SCO
Qualifying,Preliminary Round,,,(Wed) 23 Aug 1995 (W34),Beşiktaş İstanbul JK (2),3-1,0-0,Rosenborg BK (2),,,TUR,NOR
Qualifying,Preliminary Round,,,(Wed) 23 Aug 1995 (W34),Ferencvaros (2),1-1,0-0,RSC Anderlecht (2),,,HUN,BEL
Qualifying,Preliminary Round,,,(Wed) 23 Aug 1995 (W34),Maccabi Tel Aviv (2),0-1,0-0,Grasshoppers Zurich (2),,,ISR,SUI
Qualifying,Preliminary Round,,,(Wed) 23 Aug 1995 (W34),IFK Goteborg (2),1-2,0-0,Legia Warsaw (2),,,SWE,POL
