Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),SK Slovan Bratislava › SVK (1),4-2,3-0,RSC Anderlecht › BEL (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),AS Saint-Etienne › FRA (1),2-0,1-0,Sporting CP › POR (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),FC Universitatea Craiova › ROU (1),2-1,1-1,Atvidabergs FF › SWE (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),SK VOEST Linz › AUT (1),0-0,0-0,FC Barcelona › ESP (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Celtic FC › SCO (1),1-1,0-1,Olympiacos › GRE (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Feyenoord Rotterdam › NED (1),7-0,3-0,Coleraine › NIR (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Viking FK › NOR (1),0-2,0-0,FC Ararat › ARM (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Leeds United FC › ENG (1),4-1,3-0,FC Zurich › SUI (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Jeunesse Esch › LUX (1),2-3,0-1,Fenerbahçe İstanbul SK › TUR (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Valletta › MLT (1),1-0,1-0,HJK Helsinki › FIN (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Hvidovre IF › DEN (1),0-0,0-0,Ruch Chorzow › POL (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1974 (W37),Levski Sofia › BUL (1),0-3,0-1,Ujpesti Dozsa SC › HUN (1),,,,
Round 1 | Leg 1,(Thu) 19 Sep 1974 (W37),Hajduk Split › CRO (1),7-1,2-1,IB Keflavik › ISL (1),,,,
Round 1 | Leg 2,(Tue) 24 Sep 1974 (W38),IB Keflavik › ISL (2),0-2,0-1,Hajduk Split › CRO (2),1-9 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),Coleraine › NIR (2),1-4,0-2,Feyenoord Rotterdam › NED (2),1-11 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),Sporting CP › POR (2),1-1,1-1,AS Saint-Etienne › FRA (2),1-3 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),Ujpesti Dozsa SC › HUN (2),4-1,1-1,Levski Sofia › BUL (2),7-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),Olympiacos › GRE (2),2-0,2-0,Celtic FC › SCO (2),3-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),RSC Anderlecht › BEL (2),3-1,2-0,SK Slovan Bratislava › SVK (2),(a) 5-5 (agg.),,,Away Goals (1)
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),FC Ararat › ARM (2),4-2,1-2,Viking FK › NOR (2),6-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),FC Zurich › SUI (2),2-1,2-1,Leeds United FC › ENG (2),3-5 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),Fenerbahçe İstanbul SK › TUR (2),2-0,1-0,Jeunesse Esch › LUX (2),5-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),HJK Helsinki › FIN (2),4-1,3-0,Valletta › MLT (2),4-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),Ruch Chorzow › POL (2),2-1,1-0,Hvidovre IF › DEN (2),2-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1974 (W39),FC Barcelona › ESP (2),5-0,3-0,SK VOEST Linz › AUT (2),5-0 (agg.),,,
Round 1 | Leg 2,(Thu) 3 Oct 1974 (W39),Atvidabergs FF › SWE (2),3-1,2-1,FC Universitatea Craiova › ROU (2),4-3 (agg.),,,
Round of 16 | Leg 1,(Tue) 22 Oct 1974 (W42),Feyenoord Rotterdam › NED (3),0-0,0-0,FC Barcelona › ESP (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1974 (W42),Bayern München › GER (1),3-2,0-2,Magdeburg › GER (1),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1974 (W42),HJK Helsinki › FIN (3),0-3,0-1,Atvidabergs FF › SWE (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1974 (W42),RSC Anderlecht › BEL (3),5-1,3-1,Olympiacos › GRE (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1974 (W42),Cork Celtic › IRL (1),1-2,0-1,FC Ararat › ARM (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1974 (W42),Ruch Chorzow › POL (3),2-1,0-1,Fenerbahçe İstanbul SK › TUR (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1974 (W42),Ujpesti Dozsa SC › HUN (3),1-2,1-2,Leeds United FC › ENG (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1974 (W42),Hajduk Split › CRO (3),4-1,1-1,AS Saint-Etienne › FRA (3),,,,
Round of 16 | Leg 2,(Tue) 5 Nov 1974 (W44),FC Barcelona › ESP (4),3-0,2-0,Feyenoord Rotterdam › NED (4),3-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),AS Saint-Etienne › FRA (4),4-1 (*),1-0,Hajduk Split › CRO (4),5-5 (agg.),5-1 (a.e.t.),,
Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),Atvidabergs FF › SWE (4),1-0,0-0,HJK Helsinki › FIN (4),4-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),Magdeburg › GER (2),1-2,0-1,Bayern München › GER (2),3-5 (agg.),,,
Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),FC Ararat › ARM (4),5-0,1-0,Cork Celtic › IRL (2),7-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),Olympiacos › GRE (4),3-0,1-0,RSC Anderlecht › BEL (4),4-5 (agg.),,,
Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),Leeds United FC › ENG (4),3-0,1-0,Ujpesti Dozsa SC › HUN (4),5-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 6 Nov 1974 (W44),Fenerbahçe İstanbul SK › TUR (4),0-2,0-2,Ruch Chorzow › POL (4),1-4 (agg.),,,
Quarterfinals | Leg 1,(Tue) 4 Mar 1975 (W9),FC Barcelona › ESP (5),2-0,1-0,Atvidabergs FF › SWE (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1975 (W9),Ruch Chorzow › POL (5),3-2,2-0,AS Saint-Etienne › FRA (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1975 (W9),Leeds United FC › ENG (5),3-0,2-0,RSC Anderlecht › BEL (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1975 (W9),Bayern München › GER (3),2-0,0-0,FC Ararat › ARM (5),,,,
Quarterfinals | Leg 2,(Tue) 11 Mar 1975 (W10),Atvidabergs FF › SWE (6),0-3,0-1,FC Barcelona › ESP (6),0-5 (agg.),,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1975 (W11),AS Saint-Etienne › FRA (6),2-0,1-0,Ruch Chorzow › POL (6),4-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1975 (W11),RSC Anderlecht › BEL (6),0-1,0-0,Leeds United FC › ENG (6),0-4 (agg.),,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1975 (W11),FC Ararat › ARM (6),1-0,1-0,Bayern München › GER (4),1-2 (agg.),,,
