Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Sloga Jugomagnat Skopje › MKD (1),0-0,0-0,FBK Kaunas › LTU (1),1-1 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),KR Reykjavik › ISL (1),2-1,0-0,FK Vllaznia › ALB (1),2-2 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Araks Ararat › ARM (1),0-1,0-0,Sheriff Tiraspol › MDA (1),0-3 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Barry Town › WAL (1),2-0,0-0,Shamkir › AZE (1),3-0 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Bohemians › IRL (1),3-0,0-0,Levadia › EST (1),3-0 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),F91 Dudelange › LUX (1),1-6,0-0,Skonto › LVA (1),2-6 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Valletta › MLT (1),0-0,0-0,Haka Valkeakoski › FIN (1),0-5 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Levski Sofia › BUL (1),4-0,0-0,Zeljeznicar Sarajevo › BIH (1),4-0 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Linfield › NIR (1),0-0,0-0,Torpedo Kutaisi › GEO (1),0-1 (agg.),,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Vagur › FRO (1),0-0,0-0,PFC Slavia Sofia › BUL (1),0-5 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),FBK Kaunas › LTU (2),1-1,0-0,Sloga Jugomagnat Skopje › MKD (2),1-1 (agg.),,,away goals
