Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),Malmo FF › SWE (3),0-0,0-0,KV Mechelen › BEL (3),,,,
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),Steaua Bucuresti › ROU (3),1-0,1-0,PSV Eindhoven › NED (3),,,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),Real Madrid CF › ESP (4),1-0,0-0,AC Milan › ITA (4),1-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),CSKA Sofia › BUL (4),3-0,1-0,AC Sparta Praha › CZE (4),5-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),AEK Athens › GRE (4),1-1,0-0,Olympique Marseille › FRA (4),1-3 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),KF Tirana › ALB (4),0-3,0-1,Bayern München › GER (4),1-6 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),SL Benfica › POR (4),7-0,3-0,Budapest Honved SE › HUN (4),9-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),FC Tirol › AUT (4),2-2,1-1,Dnepr Dnepropetrovsk › UKR (4),2-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),PSV Eindhoven › NED (4),5-1,1-1,Steaua Bucuresti › ROU (4),5-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1989 (W44),KV Mechelen › BEL (4),4-1,2-0,Malmo FF › SWE (4),4-1 (agg.),,,
Quarterfinals | Leg 1,(Wed) 7 Mar 1990 (W10),KV Mechelen › BEL (5),0-0,0-0,AC Milan › ITA (5),,,,
Quarterfinals | Leg 1,(Wed) 7 Mar 1990 (W10),Bayern München › GER (5),2-1,0-0,PSV Eindhoven › NED (5),,,,
Quarterfinals | Leg 1,(Wed) 7 Mar 1990 (W10),CSKA Sofia › BUL (5),0-1,0-0,Olympique Marseille › FRA (5),,,,
Quarterfinals | Leg 1,(Wed) 7 Mar 1990 (W10),SL Benfica › POR (5),1-0,1-0,Dnepr Dnepropetrovsk › UKR (5),,,,
Quarterfinals | Leg 2,(Wed) 21 Mar 1990 (W12),AC Milan › ITA (6),0-0 (*),0-0,KV Mechelen › BEL (6),0-0 (agg.),2-0 (a.e.t.),,
Quarterfinals | Leg 2,(Wed) 21 Mar 1990 (W12),PSV Eindhoven › NED (6),0-1,0-0,Bayern München › GER (6),1-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 21 Mar 1990 (W12),Dnepr Dnepropetrovsk › UKR (6),0-3,0-0,SL Benfica › POR (6),0-4 (agg.),,,
Quarterfinals | Leg 2,(Wed) 21 Mar 1990 (W12),Olympique Marseille › FRA (6),3-1,2-0,CSKA Sofia › BUL (6),4-1 (agg.),,,
Semifinals | Leg 1,(Wed) 4 Apr 1990 (W14),AC Milan › ITA (7),1-0,0-0,Bayern München › GER (7),,,,
Semifinals | Leg 1,(Wed) 4 Apr 1990 (W14),Olympique Marseille › FRA (7),2-1,2-1,SL Benfica › POR (7),,,,
Semifinals | Leg 2,(Wed) 18 Apr 1990 (W16),SL Benfica › POR (8),1-0,0-0,Olympique Marseille › FRA (8),(a) 2-2 (agg.),,,Away Goals (1)
Semifinals | Leg 2,(Wed) 18 Apr 1990 (W16),Bayern München › GER (8),1-0 (*),0-0,AC Milan › ITA (8),(a) 1-1 (agg.),2-1 (a.e.t.),,Away Goals (2)
Final,(Wed) 23 May 1990 (W21),AC Milan › ITA (9),1-0,0-0,SL Benfica › POR (9),,,,
