Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Budapest Honved SE › HUN (1),1-0,0-0,Vojvodina › SRB (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),AC Milan › ITA (1),4-0,2-0,HJK Helsinki › FIN (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),AC Sparta Praha › CZE (1),3-1,0-1,Fenerbahçe İstanbul SK › TUR (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Dynamo Dresden › GER (1),1-0,0-0,AEK Athens › GRE (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Rangers FC › SCO (1),1-3,1-1,Bayern München › GER (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Olympique Marseille › FRA (1),3-0,0-0,Brondby IF › DEN (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Ruch Chorzow › POL (1),1-1,1-1,CSKA Sofia › BUL (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Derry City › NIR (1),1-2,0-0,SL Benfica › POR (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Linfield › NIR (1),1-2,0-1,Dnepr Dnepropetrovsk › UKR (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),PSV Eindhoven › NED (1),3-0,1-0,FC Luzern › SUI (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),FC Tirol › AUT (1),6-0,2-0,Omonia Nicosia › CYP (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Steaua Bucuresti › ROU (1),4-0,2-0,Fram Reykjavik › ISL (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Malmo FF › SWE (1),1-0,0-0,Internazionale › ITA (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Sliema Wanderers › MLT (1),1-0,0-0,KF Tirana › ALB (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Rosenborg BK › NOR (1),0-0,0-0,KV Mechelen › BEL (1),,,,
Round 1 | Leg 1,(Wed) 13 Sep 1989 (W37),Spora Luxemburg › LUX (1),0-3,0-1,Real Madrid CF › ESP (1),,,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Vojvodina › SRB (2),2-1,1-0,Budapest Honved SE › HUN (2),(a) 2-2 (agg.),,,Away Goals (2)
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),HJK Helsinki › FIN (2),0-1,0-1,AC Milan › ITA (2),0-5 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Fenerbahçe İstanbul SK › TUR (2),1-2,0-1,AC Sparta Praha › CZE (2),2-5 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),AEK Athens › GRE (2),5-3,3-1,Dynamo Dresden › GER (2),5-4 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Bayern München › GER (2),0-0,0-0,Rangers FC › SCO (2),3-1 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Brondby IF › DEN (2),1-1,0-0,Olympique Marseille › FRA (2),1-4 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),CSKA Sofia › BUL (2),5-1,2-0,Ruch Chorzow › POL (2),6-2 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),SL Benfica › POR (2),4-0,1-0,Derry City › NIR (2),6-1 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Dnepr Dnepropetrovsk › UKR (2),1-0,1-0,Linfield › NIR (2),3-1 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),FC Luzern › SUI (2),0-2,0-2,PSV Eindhoven › NED (2),0-5 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Omonia Nicosia › CYP (2),2-3,1-0,FC Tirol › AUT (2),2-9 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Fram Reykjavik › ISL (2),0-1,0-0,Steaua Bucuresti › ROU (2),0-5 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Internazionale › ITA (2),1-1,0-0,Malmo FF › SWE (2),1-2 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),KF Tirana › ALB (2),5-0,3-0,Sliema Wanderers › MLT (2),5-1 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),Real Madrid CF › ESP (2),6-0,3-0,Spora Luxemburg › LUX (2),9-0 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1989 (W39),KV Mechelen › BEL (2),5-0,1-0,Rosenborg BK › NOR (2),5-0 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),AC Milan › ITA (3),2-0,2-0,Real Madrid CF › ESP (3),,,,
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),AC Sparta Praha › CZE (3),2-2,0-1,CSKA Sofia › BUL (3),,,,
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),Olympique Marseille › FRA (3),2-0,0-0,AEK Athens › GRE (3),,,,
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),Bayern München › GER (3),3-1,2-1,KF Tirana › ALB (3),,,,
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),Budapest Honved SE › HUN (3),0-2,0-1,SL Benfica › POR (3),,,,
Round of 16 | Leg 1,(Wed) 18 Oct 1989 (W42),Dnepr Dnepropetrovsk › UKR (3),2-0,1-0,FC Tirol › AUT (3),,,,
