Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Aris Bonnevoie › LUX (1),0-2,0-0,Arges Pitesti › ROU (1),0-6 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Ujpesti Dozsa SC › HUN (1),2-0,0-0,Basel › SUI (1),4-3 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Galatasaray İstanbul AŞ › TUR (1),1-1,0-0,Bayern München › GER (1),1-7 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Celtic FC › SCO (1),2-1,2-0,Rosenborg BK › NOR (1),5-2 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),CSKA Sofia › BUL (1),2-1,1-0,Panathinaikos FC › GRE (1),4-1 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Derby County FC › ENG (1),2-0,1-0,Zeljeznicar Sarajevo › BIH (1),4-1 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),SSW Innsbruck › AUT (1),0-1,0-0,Dinamo Kiev › UKR (1),0-3 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Sliema Wanderers › MLT (1),0-5,0-3,Gornik Zabrze › POL (1),0-10 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Real Madrid CF › ESP (1),3-0,2-0,IB Keflavik › ISL (1),4-0 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Olympique Marseille › FRA (1),1-0,0-0,Juventus › ITA (1),1-3 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Magdeburg › GER (1),6-0,4-0,TPS Turku › FIN (1),9-1 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Malmo FF › SWE (1),1-0,1-0,SL Benfica › POR (1),2-4 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),Waterford AFC › IRL (1),2-1,2-0,Omonia Nicosia › CYP (1),2-3 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1972 (W37),RSC Anderlecht › BEL (1),4-2,1-0,Vejle BK › DEN (1),7-2 (agg.),,,
