Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Tue) 26 Aug 1958 (W34),KB Kobenhavn › DEN (1),3-0,2-0,FC Schalke 04 › GER (1),,,
Round 1 | Leg 1,(Wed) 3 Sep 1958 (W35),Standard Liege › BEL (1),5-1,2-1,Heart of Midlothian › SCO (1),,,
Round 1 | Leg 2,(Tue) 9 Sep 1958 (W36),Heart of Midlothian › SCO (2),2-1,0-0,Standard Liege › BEL (2),3-6 (agg.),,
Round 1 | Leg 1,(Wed) 10 Sep 1958 (W36),Dinamo Zagreb › CRO (1),2-2,0-1,Dukla Praha › CZE (1),,,
Round 1 | Leg 1,(Sun) 14 Sep 1958 (W36),Ards › NIR (1),1-4,0-3,Stade Reims › FRA (1),,,
Round 1 | Leg 1,(Sun) 14 Sep 1958 (W36),Jeunesse Esch › LUX (1),1-2,1-1,IFK Goteborg › SWE (1),,,
Round 1 | Leg 1,(Wed) 17 Sep 1958 (W37),Polonia Bytom › POL (1),0-3,0-0,MTK › HUN (1),,,
Round 1 | Leg 1,(Wed) 17 Sep 1958 (W37),SC Wismut Karl-Marx-Stadt › GER (1),4-2,2-1,Petrolul Ploiesti › ROU (1),,,
Round 1 | Leg 1,(Wed) 17 Sep 1958 (W37),Atletico Madrid › ESP (1),8-0,2-0,Drumcondra Dublin › IRL (1),,,
Round 1 | Leg 2,(Wed) 17 Sep 1958 (W37),FC Schalke 04 › GER (2),5-2,2-0,KB Kobenhavn › DEN (2),5-5 (agg.),,
Round 1 | Leg 1,(Wed) 24 Sep 1958 (W38),Juventus › ITA (1),3-1,1-1,Wiener Sport-Club › AUT (1),,,
Round 1 | Leg 2,(Sun) 28 Sep 1958 (W38),Petrolul Ploiesti › ROU (2),2-0,1-0,SC Wismut Karl-Marx-Stadt › GER (2),4-4 (agg.),,
Round 1 | Leg 2,(Tue) 30 Sep 1958 (W39),IFK Goteborg › SWE (2),0-1,0-1,Jeunesse Esch › LUX (2),2-2 (agg.),,
Round 1 | Leg 2,(Tue) 30 Sep 1958 (W39),Stade Reims › FRA (2),6-2,5-2,Ards › NIR (2),10-3 (agg.),,
Round 1 | Replay,(Wed) 1 Oct 1958 (W39),FC Schalke 04 › GER (3),3-1,0-0,KB Kobenhavn › DEN (3),,,
Round 1 | Leg 2,(Wed) 1 Oct 1958 (W39),Drumcondra Dublin › IRL (2),1-5,0-3,Atletico Madrid › ESP (2),1-13 (agg.),,
Round 1 | Leg 2,(Wed) 1 Oct 1958 (W39),Dukla Praha › CZE (2),2-1,1-1,Dinamo Zagreb › CRO (2),4-3 (agg.),,
Round 1 | Leg 1,(Wed) 1 Oct 1958 (W39),DOS Utrecht › NED (1),3-4,0-2,Sporting CP › POR (1),,,
Round 1 | Leg 2,(Wed) 1 Oct 1958 (W39),Wiener Sport-Club › AUT (2),7-0,3-0,Juventus › ITA (2),8-3 (agg.),,
Round 1 | Leg 2,(Wed) 1 Oct 1958 (W39),MTK › HUN (2),3-0,1-0,Polonia Bytom › POL (2),6-0 (agg.),,
Round 1 | Leg 2,(Wed) 8 Oct 1958 (W40),Sporting CP › POR (2),2-1,0-0,DOS Utrecht › NED (2),6-4 (agg.),,
Round 1 | Replay,(Sun) 12 Oct 1958 (W40),SC Wismut Karl-Marx-Stadt › GER (3),4-0,2-0,Petrolul Ploiesti › ROU (3),,,
Round 1 | Replay,(Wed) 15 Oct 1958 (W41),IFK Goteborg › SWE (3),5-1,1-1,Jeunesse Esch › LUX (3),,,
Round of 16 | Leg 1,(Wed) 29 Oct 1958 (W43),Sporting CP › POR (3),2-3,1-1,Standard Liege › BEL (3),,,
Round of 16 | Leg 1,(Wed) 5 Nov 1958 (W44),Atletico Madrid › ESP (3),2-1,0-0,CDNA Sofia › BUL (1),,,
Round of 16 | Leg 1,(Wed) 5 Nov 1958 (W44),MTK › HUN (3),1-2,0-0,BSC Young Boys › SUI (1),,,
Round of 16 | Leg 1,(Wed) 5 Nov 1958 (W44),Wiener Sport-Club › AUT (3),3-1,1-0,Dukla Praha › CZE (3),,,
Round of 16 | Leg 1,(Sun) 9 Nov 1958 (W44),IFK Goteborg › SWE (4),2-2,2-0,SC Wismut Karl-Marx-Stadt › GER (4),,,
