Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Malmo FF › SWE (1),2-1,1-0,AC Milan › ITA (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),AEK Athens › GRE (1),3-0,1-0,Jeunesse Esch › LUX (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Real Madrid CF › ESP (1),6-0,4-0,AEL Limassol › CYP (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),1. FC Nürnberg › GER (1),1-1,1-0,AFC Ajax › NED (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),FC Zurich › SUI (1),1-3,0-2,Akademisk BK › DEN (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),AS Saint-Etienne › FRA (1),2-0,2-0,Celtic FC › SCO (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Floriana › MLT (1),1-1,1-1,FC Reipas Lahti › FIN (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Manchester City FC › ENG (1),0-0,0-0,Fenerbahçe İstanbul SK › TUR (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),RSC Anderlecht › BEL (1),3-0,2-0,Glentoran › NIR (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Waterford AFC › IRL (1),1-3,0-2,Manchester United FC › ENG (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Rosenborg BK › NOR (1),1-3,1-1,Rapid Wien › AUT (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Valur Reykjavik › ISL (1),0-0,0-0,SL Benfica › POR (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1968 (W38),Steaua Bucuresti › ROU (1),3-1,2-0,Spartak TAZ Trnava › SVK (1),,,,
Round 1 | Leg 2,(Thu) 26 Sep 1968 (W39),AEL Limassol › CYP (2),0-6,0-3,Real Madrid CF › ESP (2),0-12 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),FC Reipas Lahti › FIN (2),2-0,0-0,Floriana › MLT (2),3-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Jeunesse Esch › LUX (2),3-2,2-2,AEK Athens › GRE (2),3-5 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),AFC Ajax › NED (2),4-0,1-0,1. FC Nürnberg › GER (2),5-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Akademisk BK › DEN (2),1-2,0-0,FC Zurich › SUI (2),4-3 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Celtic FC › SCO (2),4-0,1-0,AS Saint-Etienne › FRA (2),4-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Spartak TAZ Trnava › SVK (2),4-0,1-0,Steaua Bucuresti › ROU (2),5-3 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Fenerbahçe İstanbul SK › TUR (2),2-1,0-1,Manchester City FC › ENG (2),2-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Glentoran › NIR (2),2-2,1-1,RSC Anderlecht › BEL (2),2-5 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Manchester United FC › ENG (2),7-1,2-0,Waterford AFC › IRL (2),10-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),Rapid Wien › AUT (2),3-3,2-2,Rosenborg BK › NOR (2),6-4 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),SL Benfica › POR (2),8-1,5-0,Valur Reykjavik › ISL (2),8-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1968 (W40),AC Milan › ITA (2),4-1,1-1,Malmo FF › SWE (2),5-3 (agg.),,,
Round of 16 | Leg 1,(Wed) 13 Nov 1968 (W46),Manchester United FC › ENG (3),3-0,0-0,RSC Anderlecht › BEL (3),,,,
Round of 16 | Leg 1,(Wed) 13 Nov 1968 (W46),AFC Ajax › NED (3),2-0,1-0,Fenerbahçe İstanbul SK › TUR (3),,,,
Round of 16 | Leg 1,(Wed) 13 Nov 1968 (W46),Celtic FC › SCO (3),5-1,1-1,Crvena Zvezda › SRB (1),,,,
Round of 16 | Leg 1,(Wed) 13 Nov 1968 (W46),AEK Athens › GRE (3),0-0,0-0,Akademisk BK › DEN (3),,,,
Round of 16 | Leg 1,(Wed) 20 Nov 1968 (W47),Rapid Wien › AUT (3),1-0,0-0,Real Madrid CF › ESP (3),,,,
Round of 16 | Leg 1,(Wed) 20 Nov 1968 (W47),FC Reipas Lahti › FIN (3),1-9,0-3,Spartak TAZ Trnava › SVK (3),,,,
Round of 16 | Leg 2,(Wed) 27 Nov 1968 (W48),Crvena Zvezda › SRB (2),1-1,0-0,Celtic FC › SCO (4),2-6 (agg.),,,
Round of 16 | Leg 2,(Wed) 27 Nov 1968 (W48),Akademisk BK › DEN (4),0-2,0-1,AEK Athens › GRE (4),0-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 27 Nov 1968 (W48),Spartak TAZ Trnava › SVK (4),7-1,4-0,FC Reipas Lahti › FIN (4),16-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 27 Nov 1968 (W48),RSC Anderlecht › BEL (4),3-1,1-1,Manchester United FC › ENG (4),3-4 (agg.),,,
Round of 16 | Leg 2,(Thu) 28 Nov 1968 (W48),Fenerbahçe İstanbul SK › TUR (4),0-2,0-0,AFC Ajax › NED (4),0-4 (agg.),,,
