Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Wed) 23 Aug 1961 (W34),1. FC Nürnberg › GER (1),5-0,3-0,Drumcondra Dublin › IRL (1),9-1 (agg.),,
Round 1 | Leg 1,(Wed) 30 Aug 1961 (W35),ASK Vorwarts Berlin › GER (1),3-0,2-0,Linfield › NIR (1),3-0 (agg.),,
Round 1 | Leg 1,(Tue) 5 Sep 1961 (W36),AS Monaco › FRA (1),2-3,0-2,Rangers FC › SCO (1),4-6 (agg.),,
Round 1 | Leg 1,(Wed) 6 Sep 1961 (W36),Budapesti Vasas › HUN (1),0-2,0-2,Real Madrid CF › ESP (1),1-5 (agg.),,
Round 1 | Leg 1,(Wed) 6 Sep 1961 (W36),CDNA Sofia › BUL (1),4-4,1-2,Dukla Praha › CZE (1),5-6 (agg.),,
Round 1 | Leg 1,(Wed) 6 Sep 1961 (W36),IFK Goteborg › SWE (1),0-3,0-3,Feyenoord Rotterdam › NED (1),2-11 (agg.),,
Round 1 | Leg 1,(Wed) 6 Sep 1961 (W36),Standard Liege › BEL (1),2-1,1-0,Fredrikstad FK › NOR (1),4-1 (agg.),,
Round 1 | Leg 1,(Wed) 6 Sep 1961 (W36),Servette Geneve › SUI (1),5-0,3-0,Hibernians › MLT (1),7-1 (agg.),,
Round 1 | Leg 1,(Thu) 7 Sep 1961 (W36),Spora Luxemburg › LUX (1),0-6,0-3,B 1913 Odense › DEN (1),2-15 (agg.),,
Round 1 | Leg 2,(Tue) 12 Sep 1961 (W37),Rangers FC › SCO (2),3-2,0-1,AS Monaco › FRA (2),6-4 (agg.),,
Round 1 | Leg 2,(Wed) 13 Sep 1961 (W37),Dukla Praha › CZE (2),2-1,0-1,CDNA Sofia › BUL (2),6-5 (agg.),,
Round 1 | Leg 2,(Wed) 13 Sep 1961 (W37),B 1913 Odense › DEN (2),9-2,2-2,Spora Luxemburg › LUX (2),15-2 (agg.),,
Round 1 | Leg 2,(Wed) 13 Sep 1961 (W37),Drumcondra Dublin › IRL (2),1-4,1-1,1. FC Nürnberg › GER (2),1-9 (agg.),,
