Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round of 16 | Leg 1,(Wed) 17 Oct 1956 (W42),Manchester United FC › ENG (3),3-2,3-0,Borussia Dortmund › GER (4),,,
Round of 16 | Leg 1,(Wed) 17 Oct 1956 (W42),CDNA Sofia › BUL (1),8-1,3-0,Dinamo Bucuresti › ROU (3),,,
Round of 16 | Leg 1,(Wed) 24 Oct 1956 (W43),SK Slovan Bratislava › SVK (3),1-0,1-0,Grasshoppers Zurich › SUI (1),,,
Round of 16 | Leg 1,(Wed) 24 Oct 1956 (W43),Rangers FC › SCO (1),2-1,1-1,OGC Nice › FRA (3),,,
Round of 16 | Leg 1,(Thu) 1 Nov 1956 (W44),Real Madrid CF › ESP (1),4-2,2-0,Rapid Wien › AUT (1),,,
Round of 16 | Leg 1,(Thu) 1 Nov 1956 (W44),Rapid JC Heerlen › NED (1),3-4,1-2,Crvena Zvezda › SRB (1),,,
Round of 16 | Leg 2,(Wed) 14 Nov 1956 (W46),OGC Nice › FRA (4),2-1,0-1,Rangers FC › SCO (2),3-3 (agg.),,
Round of 16 | Leg 2,(Wed) 14 Nov 1956 (W46),Rapid Wien › AUT (2),3-1,3-0,Real Madrid CF › ESP (2),5-5 (agg.),,
Round of 16 | Leg 2,(Wed) 14 Nov 1956 (W46),Crvena Zvezda › SRB (2),2-0,1-0,Rapid JC Heerlen › NED (2),6-3 (agg.),,
Round of 16 | Leg 2,(Wed) 21 Nov 1956 (W47),Dinamo Bucuresti › ROU (4),3-2,0-1,CDNA Sofia › BUL (2),4-10 (agg.),,
Round of 16 | Leg 2,(Wed) 21 Nov 1956 (W47),Borussia Dortmund › GER (5),0-0,0-0,Manchester United FC › ENG (4),2-3 (agg.),,
Round of 16 | Leg 1,(Wed) 21 Nov 1956 (W47),ACF Fiorentina › ITA (1),1-1,1-1,IFK Norrkoping › SWE (1),,,
Round of 16 | Leg 1,(Thu) 22 Nov 1956 (W47),Athletic Bilbao › ESP (3),3-2,2-0,Budapest Honved SE › HUN (1),,,
Round of 16 | Replay,(Wed) 28 Nov 1956 (W48),OGC Nice › FRA (5),3-1,1-0,Rangers FC › SCO (3),,,
Round of 16 | Leg 2,(Wed) 28 Nov 1956 (W48),IFK Norrkoping › SWE (2),0-1,0-1,ACF Fiorentina › ITA (2),1-2 (agg.),,
Round of 16 | Leg 2,(Wed) 12 Dec 1956 (W50),Grasshoppers Zurich › SUI (2),2-0,0-0,SK Slovan Bratislava › SVK (4),2-1 (agg.),,
Round of 16 | Replay,(Thu) 13 Dec 1956 (W50),Real Madrid CF › ESP (3),2-0,2-0,Rapid Wien › AUT (3),,,
Round of 16 | Leg 2,(Thu) 20 Dec 1956 (W51),Budapest Honved SE › HUN (2),3-3,1-1,Athletic Bilbao › ESP (4),5-6 (agg.),,
Quarterfinals | Leg 1,(Wed) 16 Jan 1957 (W2),Athletic Bilbao › ESP (5),5-3,3-0,Manchester United FC › ENG (5),,,
Quarterfinals | Leg 1,(Wed) 6 Feb 1957 (W5),ACF Fiorentina › ITA (3),3-1,3-1,Grasshoppers Zurich › SUI (3),,,
Quarterfinals | Leg 2,(Wed) 6 Feb 1957 (W5),Manchester United FC › ENG (6),3-0,1-0,Athletic Bilbao › ESP (6),6-5 (agg.),,
Quarterfinals | Leg 1,(Thu) 14 Feb 1957 (W6),Real Madrid CF › ESP (4),3-0,1-0,OGC Nice › FRA (6),,,
Quarterfinals | Leg 1,(Sun) 17 Feb 1957 (W6),Crvena Zvezda › SRB (3),3-1,2-0,CDNA Sofia › BUL (3),,,
Quarterfinals | Leg 2,(Sun) 24 Feb 1957 (W7),CDNA Sofia › BUL (4),2-1,2-1,Crvena Zvezda › SRB (4),3-4 (agg.),,
Quarterfinals | Leg 2,(Wed) 27 Feb 1957 (W8),Grasshoppers Zurich › SUI (4),2-2,1-1,ACF Fiorentina › ITA (4),3-5 (agg.),,
Quarterfinals | Leg 2,(Thu) 14 Mar 1957 (W10),OGC Nice › FRA (7),2-3,1-1,Real Madrid CF › ESP (5),2-6 (agg.),,
Semifinals | Leg 1,(Wed) 3 Apr 1957 (W13),Crvena Zvezda › SRB (5),0-1,0-0,ACF Fiorentina › ITA (5),,,
Semifinals | Leg 1,(Thu) 11 Apr 1957 (W14),Real Madrid CF › ESP (6),3-1,0-0,Manchester United FC › ENG (7),,,
Semifinals | Leg 2,(Thu) 18 Apr 1957 (W15),ACF Fiorentina › ITA (6),0-0,0-0,Crvena Zvezda › SRB (6),1-0 (agg.),,
Semifinals | Leg 2,(Thu) 25 Apr 1957 (W16),Manchester United FC › ENG (8),2-2,0-2,Real Madrid CF › ESP (7),3-5 (agg.),,
Final,(Thu) 30 May 1957 (W21),Real Madrid CF › ESP (8),2-0,0-0,ACF Fiorentina › ITA (7),,,
