Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Wed) 1 Aug 1956 (W31),Borussia Dortmund › GER (1),4-3,1-2,Spora Luxemburg › LUX (1),,,
Round 1 | Leg 1,(Sun) 26 Aug 1956 (W34),Dinamo Bucuresti › ROU (1),3-1,1-0,Galatasaray İstanbul AŞ › TUR (1),,,
Round 1 | Leg 2,(Thu) 6 Sep 1956 (W36),Spora Luxemburg › LUX (2),2-1,2-1,Borussia Dortmund › GER (2),5-5 (agg.),,
Round 1 | Leg 1,(Wed) 12 Sep 1956 (W37),RSC Anderlecht › BEL (1),0-2,0-1,Manchester United FC › ENG (1),,,
Round 1 | Leg 1,(Wed) 12 Sep 1956 (W37),SK Slovan Bratislava › SVK (1),4-0,3-0,Legia Warsaw › POL (1),,,
Round 1 | Replay,(Sun) 16 Sep 1956 (W37),Borussia Dortmund › GER (3),7-0,4-0,Spora Luxemburg › LUX (3),,,
Round 1 | Leg 2,(Wed) 19 Sep 1956 (W38),Legia Warsaw › POL (2),2-0,0-0,SK Slovan Bratislava › SVK (2),2-4 (agg.),,
Round 1 | Leg 1,(Wed) 19 Sep 1956 (W38),Aarhus GF › DEN (1),1-1,1-0,OGC Nice › FRA (1),,,
Round 1 | Leg 1,(Thu) 20 Sep 1956 (W38),FC Porto › POR (1),1-2,0-1,Athletic Bilbao › ESP (1),,,
Round 1 | Leg 2,(Wed) 26 Sep 1956 (W39),Athletic Bilbao › ESP (2),3-2,1-2,FC Porto › POR (2),5-3 (agg.),,
Round 1 | Leg 2,(Wed) 26 Sep 1956 (W39),Manchester United FC › ENG (2),10-0,5-0,RSC Anderlecht › BEL (2),12-0 (agg.),,
Round 1 | Leg 2,(Thu) 27 Sep 1956 (W39),OGC Nice › FRA (2),5-1,3-0,Aarhus GF › DEN (2),6-2 (agg.),,
Round 1 | Leg 2,(Sun) 30 Sep 1956 (W39),Galatasaray İstanbul AŞ › TUR (2),2-1,1-1,Dinamo Bucuresti › ROU (2),3-4 (agg.),,
