Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Tue) 14 Sep 1976 (W37),Sliema Wanderers › MLT (1),2-1,0-0,TPS Turku › FIN (1),2-2 (agg.),,,
Round 1 | Leg 1,(Tue) 14 Sep 1976 (W37),Koge BK › DEN (1),0-5,0-4,Bayern München › GER (1),1-7 (agg.),,,
Round 1 | Leg 1,(Tue) 14 Sep 1976 (W37),Liverpool FC › ENG (1),2-0,1-0,Crusaders › NIR (1),7-0 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Dundalk › IRL (1),1-1,1-0,PSV Eindhoven › NED (1),1-7 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Austria Wien › AUT (1),1-0,1-0,Borussia Monchengladbach › GER (1),1-3 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Viking FK › NOR (1),2-1,2-0,Banik Ostrava › CZE (1),2-3 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Club Brugge › BEL (1),2-1,0-0,Steaua Bucuresti › ROU (1),3-2 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),CSKA Sofia › BUL (1),0-0,0-0,AS Saint-Etienne › FRA (1),0-1 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Dynamo Dresden › GER (1),2-0,0-0,SL Benfica › POR (1),2-0 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Rangers FC › SCO (1),1-1,1-1,FC Zurich › SUI (1),1-2 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Ferencvaros › HUN (1),5-1,3-1,Jeunesse Esch › LUX (1),11-3 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),IA Akranes › ISL (1),1-3,0-1,Trabzonspor AŞ › TUR (1),3-6 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Torino FC › ITA (1),2-1,1-0,Malmo FF › SWE (1),3-2 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Omonia Nicosia › CYP (1),0-2,0-1,PAOK FC › GRE (1),1-3 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Stal Mielec › POL (1),1-2,0-1,Real Madrid CF › ESP (1),1-3 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1976 (W37),Dinamo Kiev › UKR (1),3-0,1-0,Partizan Belgrade › SRB (1),5-0 (agg.),,,
Round 1 | Leg 2,(Tue) 28 Sep 1976 (W39),TPS Turku › FIN (2),1-0,0-0,Sliema Wanderers › MLT (2),2-2 (agg.),,,away goals
Round 1 | Leg 2,(Tue) 28 Sep 1976 (W39),Crusaders › NIR (2),0-5,0-1,Liverpool FC › ENG (2),0-7 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),PSV Eindhoven › NED (2),6-0,3-0,Dundalk › IRL (2),7-1 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Borussia Monchengladbach › GER (2),3-0,1-0,Austria Wien › AUT (2),3-1 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Banik Ostrava › CZE (2),2-0,1-0,Viking FK › NOR (2),3-2 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Bayern München › GER (2),2-1,1-1,Koge BK › DEN (2),7-1 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Steaua Bucuresti › ROU (2),1-1,1-0,Club Brugge › BEL (2),2-3 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),AS Saint-Etienne › FRA (2),1-0,1-0,CSKA Sofia › BUL (2),1-0 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),SL Benfica › POR (2),0-0,0-0,Dynamo Dresden › GER (2),0-2 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),FC Zurich › SUI (2),1-0,1-0,Rangers FC › SCO (2),2-1 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Jeunesse Esch › LUX (2),2-6,1-3,Ferencvaros › HUN (2),3-11 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Trabzonspor AŞ › TUR (2),3-2,1-1,IA Akranes › ISL (2),6-3 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Malmo FF › SWE (2),1-1,0-1,Torino FC › ITA (2),2-3 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),PAOK FC › GRE (2),1-1,0-1,Omonia Nicosia › CYP (2),3-1 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Partizan Belgrade › SRB (2),0-2,0-1,Dinamo Kiev › UKR (2),0-5 (agg.),,,
Round 1 | Leg 2,(Wed) 29 Sep 1976 (W39),Real Madrid CF › ESP (2),1-0,0-0,Stal Mielec › POL (2),3-1 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),AS Saint-Etienne › FRA (3),1-0,0-0,PSV Eindhoven › NED (3),1-0 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),Banik Ostrava › CZE (3),2-1,2-0,Bayern München › GER (3),2-6 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),Torino FC › ITA (3),1-2,0-1,Borussia Monchengladbach › GER (3),1-2 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),Real Madrid CF › ESP (3),0-0,0-0,Club Brugge › BEL (3),0-2 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),Dinamo Kiev › UKR (3),4-0,3-0,PAOK FC › GRE (3),6-0 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),Ferencvaros › HUN (3),1-0,1-0,Dynamo Dresden › GER (3),1-4 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),FC Zurich › SUI (3),2-0,1-0,TPS Turku › FIN (3),3-0 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Oct 1976 (W42),Trabzonspor AŞ › TUR (3),1-0,0-0,Liverpool FC › ENG (3),1-3 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),PSV Eindhoven › NED (4),0-0,0-0,AS Saint-Etienne › FRA (4),0-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),Bayern München › GER (4),5-0,2-0,Banik Ostrava › CZE (4),6-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),Borussia Monchengladbach › GER (4),0-0,0-0,Torino FC › ITA (4),2-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),Club Brugge › BEL (4),2-0,2-0,Real Madrid CF › ESP (4),2-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),PAOK FC › GRE (4),0-2,0-0,Dinamo Kiev › UKR (4),0-6 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),Dynamo Dresden › GER (4),4-0,1-0,Ferencvaros › HUN (4),4-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),Liverpool FC › ENG (4),3-0,3-0,Trabzonspor AŞ › TUR (4),3-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 3 Nov 1976 (W44),TPS Turku › FIN (4),0-1,0-0,FC Zurich › SUI (4),0-3 (agg.),,,
Quarterfinals | Leg 1,(Wed) 2 Mar 1977 (W9),FC Zurich › SUI (5),2-1,1-0,Dynamo Dresden › GER (5),4-4 (agg.),,,
Quarterfinals | Leg 1,(Wed) 2 Mar 1977 (W9),AS Saint-Etienne › FRA (5),1-0,0-0,Liverpool FC › ENG (5),2-3 (agg.),,,
Quarterfinals | Leg 1,(Wed) 2 Mar 1977 (W9),Bayern München › GER (5),1-0,1-0,Dinamo Kiev › UKR (5),1-2 (agg.),,,
Quarterfinals | Leg 1,(Wed) 2 Mar 1977 (W9),Borussia Monchengladbach › GER (5),2-2,1-2,Club Brugge › BEL (5),3-2 (agg.),,,
Quarterfinals | Leg 2,(Wed) 16 Mar 1977 (W11),Dynamo Dresden › GER (6),3-2,1-1,FC Zurich › SUI (6),4-4 (agg.),,,away goals
Quarterfinals | Leg 2,(Wed) 16 Mar 1977 (W11),Liverpool FC › ENG (6),3-1,1-0,AS Saint-Etienne › FRA (6),3-2 (agg.),,,
Quarterfinals | Leg 2,(Wed) 16 Mar 1977 (W11),Club Brugge › BEL (6),0-1,0-0,Borussia Monchengladbach › GER (6),2-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 16 Mar 1977 (W11),Dinamo Kiev › UKR (6),2-0,0-0,Bayern München › GER (6),2-1 (agg.),,,
Semifinals | Leg 1,(Wed) 6 Apr 1977 (W14),Dinamo Kiev › UKR (7),1-0,0-0,Borussia Monchengladbach › GER (7),1-2 (agg.),,,
Semifinals | Leg 1,(Wed) 6 Apr 1977 (W14),FC Zurich › SUI (7),1-3,1-1,Liverpool FC › ENG (7),1-6 (agg.),,,
Semifinals | Leg 2,(Wed) 20 Apr 1977 (W16),Liverpool FC › ENG (8),3-0,1-0,FC Zurich › SUI (8),6-1 (agg.),,,
Semifinals | Leg 2,(Wed) 20 Apr 1977 (W16),Borussia Monchengladbach › GER (8),2-0,1-0,Dinamo Kiev › UKR (8),2-1 (agg.),,,
Final,(Wed) 25 May 1977 (W21),Liverpool FC › ENG (9),3-1,0-0,Borussia Monchengladbach › GER (9),,,,
