Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),FC Porto › POR (2),4-1,0-1,AEK Athens › GRE (2),5-7 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),AS Monaco › FRA (4),0-1,0-1,Malmo FF › SWE (2),0-1 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Austria Wien › AUT (2),4-1,2-0,FK Vllaznia › ALB (2),4-3 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Wisla Krakow › POL (2),3-1,1-0,Club Brugge › BEL (2),4-3 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Dinamo Kiev › UKR (2),3-1,2-0,Haka Valkeakoski › FIN (2),4-1 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),PSV Eindhoven › NED (2),6-1,2-0,Fenerbahçe İstanbul SK › TUR (2),7-3 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Valletta › MLT (2),3-5,0-1,Grasshoppers Zurich › SUI (2),3-13 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),IA Akranes › ISL (2),1-1,1-0,Koln › GER (2),2-5 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Rangers FC › SCO (2),2-0,1-0,Juventus › ITA (2),2-1 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Lillestrom › NOR (2),1-0,1-0,Linfield › NIR (2),1-0 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Liverpool FC › ENG (2),0-0,0-0,Nottingham Forest FC › ENG (2),0-2 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Lokomotiv Sofia › BUL (2),2-1,1-1,Odense BK › DEN (2),4-3 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Progres Niedercorn › LUX (2),0-7,0-3,Real Madrid CF › ESP (2),0-12 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Ujpesti Dozsa SC › HUN (2),0-2,0-2,Zbrojovka Brno › CZE (2),2-4 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Dynamo Dresden › GER (2),2-0 (*),1-0,Partizan Belgrade › SRB (2),2-2 (agg.),2-0 (a.e.t.),5-4 (pen.),
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),Real Madrid CF › ESP (3),3-1,1-0,Grasshoppers Zurich › SUI (3),3-3 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),Zbrojovka Brno › CZE (3),2-2,0-1,Wisla Krakow › POL (3),3-3 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),AEK Athens › GRE (3),1-2,0-2,Nottingham Forest FC › ENG (3),2-7 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),Austria Wien › AUT (3),4-1,3-0,Lillestrom › NOR (3),4-1 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),Bohemians › IRL (3),0-0,0-0,Dynamo Dresden › GER (3),0-6 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),Dinamo Kiev › UKR (3),0-0,0-0,Malmo FF › SWE (3),0-2 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),Lokomotiv Sofia › BUL (3),0-1,0-0,Koln › GER (3),0-5 (agg.),,,
Round of 16 | Leg 1,(Wed) 18 Oct 1978 (W42),Rangers FC › SCO (3),0-0,0-0,PSV Eindhoven › NED (3),3-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),Grasshoppers Zurich › SUI (4),2-0,1-0,Real Madrid CF › ESP (4),3-3 (agg.),,,away goals
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),Wisla Krakow › POL (4),1-1,0-0,Zbrojovka Brno › CZE (4),3-3 (agg.),,,away goals
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),Nottingham Forest FC › ENG (4),5-1,3-0,AEK Athens › GRE (4),7-2 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),Lillestrom › NOR (4),0-0,0-0,Austria Wien › AUT (4),1-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),Dynamo Dresden › GER (4),6-0,2-0,Bohemians › IRL (4),6-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),Malmo FF › SWE (4),2-0,2-0,Dinamo Kiev › UKR (4),2-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),Koln › GER (4),4-0,1-0,Lokomotiv Sofia › BUL (4),5-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 1 Nov 1978 (W44),PSV Eindhoven › NED (4),2-3,1-0,Rangers FC › SCO (4),2-3 (agg.),,,
Quarterfinals | Leg 1,(Tue) 6 Mar 1979 (W10),Koln › GER (5),1-0,0-0,Rangers FC › SCO (5),2-1 (agg.),,,
Quarterfinals | Leg 1,(Wed) 7 Mar 1979 (W10),Austria Wien › AUT (5),3-1,1-1,Dynamo Dresden › GER (5),3-2 (agg.),,,
Quarterfinals | Leg 1,(Wed) 7 Mar 1979 (W10),Nottingham Forest FC › ENG (5),4-1,1-1,Grasshoppers Zurich › SUI (5),5-2 (agg.),,,
Quarterfinals | Leg 1,(Wed) 7 Mar 1979 (W10),Wisla Krakow › POL (5),2-1,1-1,Malmo FF › SWE (5),3-5 (agg.),,,
Quarterfinals | Leg 2,(Wed) 21 Mar 1979 (W12),Dynamo Dresden › GER (6),1-0,1-0,Austria Wien › AUT (6),2-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 21 Mar 1979 (W12),Grasshoppers Zurich › SUI (6),1-1,1-1,Nottingham Forest FC › ENG (6),2-5 (agg.),,,
Quarterfinals | Leg 2,(Wed) 21 Mar 1979 (W12),Malmo FF › SWE (6),4-1,0-0,Wisla Krakow › POL (6),5-3 (agg.),,,
Quarterfinals | Leg 2,(Thu) 22 Mar 1979 (W12),Rangers FC › SCO (6),1-1,0-0,Koln › GER (6),1-2 (agg.),,,
Semifinals | Leg 1,(Wed) 11 Apr 1979 (W15),Austria Wien › AUT (7),0-0,0-0,Malmo FF › SWE (7),0-1 (agg.),,,
Semifinals | Leg 1,(Wed) 11 Apr 1979 (W15),Nottingham Forest FC › ENG (7),3-3,1-2,Koln › GER (7),4-3 (agg.),,,
Semifinals | Leg 2,(Wed) 25 Apr 1979 (W17),Malmo FF › SWE (8),1-0,0-0,Austria Wien › AUT (8),1-0 (agg.),,,
Semifinals | Leg 2,(Wed) 25 Apr 1979 (W17),Koln › GER (8),0-1,0-0,Nottingham Forest FC › ENG (8),3-4 (agg.),,,
Final,(Wed) 30 May 1979 (W22),Nottingham Forest FC › ENG (9),1-0,0-0,Malmo FF › SWE (9),,,,
