Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Prelim. Round | Leg 1,(Tue) 15 Aug 1978 (W33),AS Monaco › FRA (1),3-0,0-0,Steaua Bucuresti › ROU (1),3-2 (agg.),,,
Prelim. Round | Leg 2,(Wed) 30 Aug 1978 (W35),Steaua Bucuresti › ROU (2),2-0,0-0,AS Monaco › FRA (2),2-3 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Omonia Nicosia › CYP (1),2-1,1-1,Bohemians › IRL (1),2-2 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),AEK Athens › GRE (1),6-1,4-0,FC Porto › POR (1),7-5 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Malmo FF › SWE (1),0-0,0-0,AS Monaco › FRA (3),1-0 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),FK Vllaznia › ALB (1),2-0,1-0,Austria Wien › AUT (1),3-4 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Club Brugge › BEL (1),2-1,2-0,Wisla Krakow › POL (1),3-4 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Haka Valkeakoski › FIN (1),0-1,0-0,Dinamo Kiev › UKR (1),1-4 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Fenerbahçe İstanbul SK › TUR (1),2-1,2-1,PSV Eindhoven › NED (1),3-7 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Grasshoppers Zurich › SUI (1),8-0,3-0,Valletta › MLT (1),13-3 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Koln › GER (1),4-1,3-1,IA Akranes › ISL (1),5-2 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Juventus › ITA (1),1-0,1-0,Rangers FC › SCO (1),1-2 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Linfield › NIR (1),0-0,0-0,Lillestrom › NOR (1),0-1 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Nottingham Forest FC › ENG (1),2-0,1-0,Liverpool FC › ENG (1),2-0 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Odense BK › DEN (1),2-2,2-0,Lokomotiv Sofia › BUL (1),3-4 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Real Madrid CF › ESP (1),5-0,3-0,Progres Niedercorn › LUX (1),12-0 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Zbrojovka Brno › CZE (1),2-2,0-1,Ujpesti Dozsa SC › HUN (1),4-2 (agg.),,,
Round 1 | Leg 1,(Wed) 13 Sep 1978 (W37),Partizan Belgrade › SRB (1),2-0,1-0,Dynamo Dresden › GER (1),2-2 (agg.),,,
Round 1 | Leg 2,(Wed) 27 Sep 1978 (W39),Bohemians › IRL (2),1-0,1-0,Omonia Nicosia › CYP (2),2-2 (agg.),,,away goals
