Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Prelim. Round | Leg 1,(Thu) 19 Aug 1971 (W33),Valencia CF › ESP (1),3-1,0-0,Union Luxembourg › LUX (1),,,,
Prelim. Round | Leg 2,(Tue) 24 Aug 1971 (W34),Union Luxembourg › LUX (2),0-1,0-0,Valencia CF › ESP (2),1-4 (agg.),,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Dinamo Bucuresti › ROU (1),0-0,0-0,Spartak TAZ Trnava › SVK (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Valencia CF › ESP (3),0-0,0-0,Hajduk Split › CRO (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Internazionale › ITA (1),4-1,3-1,AEK Athens › GRE (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),AFC Ajax › NED (1),2-0,2-0,Dynamo Dresden › GER (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Stromsgodset IF › NOR (1),1-3,0-2,Arsenal FC › ENG (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),B 1903 Kobenhavn › DEN (1),2-1,2-1,Celtic FC › SCO (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Cork Hibernians › IRL (1),0-5,0-5,Borussia Monchengladbach › GER (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Galatasaray İstanbul AŞ › TUR (1),1-1,0-1,CSKA Moskva › RUS (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),FC Reipas Lahti › FIN (1),1-1,0-0,Grasshoppers Zurich › SUI (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Feyenoord Rotterdam › NED (1),8-0,4-0,Omonia Nicosia › CYP (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Olympique Marseille › FRA (1),2-1,1-1,Gornik Zabrze › POL (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Standard Liege › BEL (1),2-0,1-0,Linfield › NIR (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),Ujpesti Dozsa SC › HUN (1),4-0,3-0,Malmo FF › SWE (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),SSW Innsbruck › AUT (1),0-4,0-2,SL Benfica › POR (1),,,,
Round 1 | Leg 1,(Wed) 15 Sep 1971 (W37),CSKA Sofia › BUL (1),3-0,2-0,FK Partizani Tirana › ALB (1),,,,
Round 1 | Leg 2,(Wed) 22 Sep 1971 (W38),Omonia Nicosia › CYP (2),0-9,0-5,Feyenoord Rotterdam › NED (2),0-17 (agg.),,,
Round 1 | Leg 1,(Sun) 26 Sep 1971 (W38),IA Akranes › ISL (1),0-4,0-1,Sliema Wanderers › MLT (1),,,,
Round 1 | Leg 2,(Wed) 29 Sep 1971 (W39),Spartak TAZ Trnava › SVK (2),2-2,1-0,Dinamo Bucuresti › ROU (2),(a) 2-2 (agg.),,,Away Goals (2)
Round 1 | Leg 2,(Wed) 29 Sep 1971 (W39),Hajduk Split › CRO (2),1-1,1-0,Valencia CF › ESP (4),(a) 1-1 (agg.),,,Away Goals (2)
