Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Tue) 13 Jul 1999 (W28),IB Vestmannaeyja › ISL (1),1-0,0-0,KF Tirana › ALB (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Dinamo Kiev › UKR (1),2-0,0-0,Zalgiris Vilnius › LTU (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Dinamo Tbilisi › GEO (1),2-1,0-0,Zimbru Chisinau › MDA (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Haka Valkeakoski › FIN (3),1-4,0-0,Rangers FC › SCO (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),IB Vestmannaeyja › ISL (3),0-2,0-0,MTK › HUN (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),NK Maribor › SVN (1),5-1,0-0,KRC Genk › BEL (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Rapid Bucuresti › ROU (1),3-3,0-0,Skonto › LVA (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Partizan Belgrade › SRB (3),3-1,0-0,HNK Rijeka › CRO (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Rapid Wien › AUT (1),3-0,0-0,Valletta › MLT (3),,,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Widzew Lodz › POL (2),4-1 (*),0-0,PFC Litex Lovech › BUL (4),5-5 (agg.),4-1 (a.e.t.),3-2 (pen.),
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Hapoel Haifa › ISR (2),0-0,0-0,Beşiktaş İstanbul JK › TUR (2),1-1 (agg.),,,away goals
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),AIK Solna › SWE (2),2-0,0-0,Dnepr Mogilev › BLR (2),3-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),SK Slovan Bratislava › SVK (2),1-1,0-0,Anorthosis Famagusta › CYP (2),2-3 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Brondby IF › DEN (2),1-0,0-0,Sloga Jugomagnat Skopje › MKD (4),2-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Molde FK › NOR (2),4-0,0-0,CSKA Moskva › RUS (2),4-2 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Zalgiris Vilnius › LTU (4),0-1,0-0,Dinamo Kiev › UKR (2),0-3 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Zimbru Chisinau › MDA (4),2-0,0-0,Dinamo Tbilisi › GEO (2),3-2 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Rangers FC › SCO (2),3-0,0-0,Haka Valkeakoski › FIN (4),7-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),MTK › HUN (2),3-1,0-0,IB Vestmannaeyja › ISL (4),5-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),KRC Genk › BEL (2),3-0,0-0,NK Maribor › SVN (2),4-5 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Skonto › LVA (4),2-1,0-0,Rapid Bucuresti › ROU (2),5-4 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),Valletta › MLT (4),0-2,0-0,Rapid Wien › AUT (2),0-5 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 4 Aug 1999 (W31),HNK Rijeka › CRO (2),0-3,0-0,Partizan Belgrade › SRB (4),1-6 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 10 Aug 1999 (W32),Olympique Lyon › FRA (1),0-1,0-0,NK Maribor › SVN (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Molde FK › NOR (3),0-0,0-0,RCD Mallorca › ESP (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Aalborg BK › DEN (1),1-2,0-0,Dinamo Kiev › UKR (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),ACF Fiorentina › ITA (1),3-1,0-0,Widzew Lodz › POL (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),AEK Athens › GRE (1),0-0,0-0,AIK Solna › SWE (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Hertha BSC › GER (1),2-0,0-0,Anorthosis Famagusta › CYP (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Brondby IF › DEN (3),1-2,0-0,Boavista FC › POR (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Teplice › CZE (1),0-1,0-0,Borussia Dortmund › GER (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Chelsea FC › ENG (1),3-0,0-0,Skonto › LVA (5),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Dinamo Zagreb › CRO (1),0-0,0-0,MTK › HUN (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Rapid Wien › AUT (3),0-3,0-0,Galatasaray İstanbul AŞ › TUR (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Spartak Moskva › RUS (1),2-0,0-0,Partizan Belgrade › SRB (5),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Rangers FC › SCO (3),2-0,0-0,Parma › ITA (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Zimbru Chisinau › MDA (5),0-0,0-0,PSV Eindhoven › NED (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),SK Sturm Graz › AUT (1),2-1,0-0,Servette Geneve › SUI (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 11 Aug 1999 (W32),Hapoel Haifa › ISR (3),0-2,0-0,Valencia CF › ESP (1),,,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),RCD Mallorca › ESP (2),1-1,0-0,Molde FK › NOR (4),1-1 (agg.),,,away goals
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Dinamo Kiev › UKR (4),2-2,0-0,Aalborg BK › DEN (2),4-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Widzew Lodz › POL (4),0-2,0-0,ACF Fiorentina › ITA (2),1-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),AIK Solna › SWE (4),1-0,0-0,AEK Athens › GRE (2),1-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Anorthosis Famagusta › CYP (4),0-0,0-0,Hertha BSC › GER (2),0-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Boavista FC › POR (2),2-1 (*),0-0,Brondby IF › DEN (4),4-2 (agg.),4-2 (a.e.t.),,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Borussia Dortmund › GER (2),1-0,0-0,Teplice › CZE (2),2-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Skonto › LVA (6),0-0,0-0,Chelsea FC › ENG (2),0-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),MTK › HUN (4),0-2,0-0,Dinamo Zagreb › CRO (2),0-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Galatasaray İstanbul AŞ › TUR (2),1-0,0-0,Rapid Wien › AUT (4),4-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Valencia CF › ESP (2),2-0,0-0,Hapoel Haifa › ISR (4),4-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),NK Maribor › SVN (4),2-0,0-0,Olympique Lyon › FRA (2),3-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Partizan Belgrade › SRB (6),1-3,0-0,Spartak Moskva › RUS (2),1-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),PSV Eindhoven › NED (2),2-0,0-0,Zimbru Chisinau › MDA (6),2-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Servette Geneve › SUI (2),2-2,0-0,SK Sturm Graz › AUT (2),3-4 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 25 Aug 1999 (W34),Parma › ITA (2),1-0,0-0,Rangers FC › SCO (4),1-2 (agg.),,,
Group 1st,Matchday ?,1|A,(Tue) 14 Sep 1999 (W37),Dinamo Kiev › UKR (5),0-1,0-0,NK Maribor › SVN (5),,,,
Group 1st,Matchday ?,1|A,(Tue) 14 Sep 1999 (W37),Bayer 04 Leverkusen › GER (1),1-1,1-1,SS Lazio › ITA (1),,,,
Group 1st,Matchday ?,1|B,(Tue) 14 Sep 1999 (W37),AIK Solna › SWE (5),1-2,0-0,FC Barcelona › ESP (1),,,,
Group 1st,Matchday ?,1|B,(Tue) 14 Sep 1999 (W37),ACF Fiorentina › ITA (3),0-0,0-0,Arsenal FC › ENG (1),,,,
Group 1st,Matchday ?,1|C,(Tue) 14 Sep 1999 (W37),Boavista FC › POR (3),0-3,0-2,Rosenborg BK › NOR (1),,,,
Group 1st,Matchday ?,1|C,(Tue) 14 Sep 1999 (W37),Feyenoord Rotterdam › NED (1),1-1,0-0,Borussia Dortmund › GER (3),,,,
Group 1st,Matchday ?,1|D,(Tue) 14 Sep 1999 (W37),Manchester United FC › ENG (1),0-0,0-0,Dinamo Zagreb › CRO (3),,,,
Group 1st,Matchday ?,1|D,(Tue) 14 Sep 1999 (W37),Olympique Marseille › FRA (1),2-0,2-0,SK Sturm Graz › AUT (3),,,,
Group 1st,Matchday ?,1|E,(Wed) 15 Sep 1999 (W37),Olympiacos › GRE (1),3-3,1-2,Real Madrid CF › ESP (1),,,,
Group 1st,Matchday ?,1|E,(Wed) 15 Sep 1999 (W37),Molde FK › NOR (5),0-1,0-0,FC Porto › POR (1),,,,
Group 1st,Matchday ?,1|F,(Wed) 15 Sep 1999 (W37),Bayern München › GER (1),2-1,1-0,PSV Eindhoven › NED (3),,,,
Group 1st,Matchday ?,1|F,(Wed) 15 Sep 1999 (W37),Valencia CF › ESP (3),2-0,0-0,Rangers FC › SCO (5),,,,
Group 1st,Matchday ?,1|G,(Wed) 15 Sep 1999 (W37),Sparta Praha › CZE (1),0-0,0-0,Girondins Bordeaux › FRA (1),,,,
Group 1st,Matchday ?,1|G,(Wed) 15 Sep 1999 (W37),Willem II Tilburg › NED (1),1-3,0-2,Spartak Moskva › RUS (3),,,,
Group 1st,Matchday ?,1|H,(Wed) 15 Sep 1999 (W37),Chelsea FC › ENG (3),0-0,0-0,AC Milan › ITA (1),,,,
Group 1st,Matchday ?,1|H,(Wed) 15 Sep 1999 (W37),Galatasaray İstanbul AŞ › TUR (3),2-2,1-2,Hertha BSC › GER (3),,,,
Group 1st,Matchday ?,1|E,(Tue) 21 Sep 1999 (W38),FC Porto › POR (2),2-0,1-0,Olympiacos › GRE (2),,,,
Group 1st,Matchday ?,1|E,(Tue) 21 Sep 1999 (W38),Real Madrid CF › ESP (2),4-1,1-0,Molde FK › NOR (6),,,,
Group 1st,Matchday ?,1|F,(Tue) 21 Sep 1999 (W38),PSV Eindhoven › NED (4),1-1,0-1,Valencia CF › ESP (4),,,,
Group 1st,Matchday ?,1|F,(Tue) 21 Sep 1999 (W38),Rangers FC › SCO (6),1-1,1-0,Bayern München › GER (2),,,,
Group 1st,Matchday ?,1|G,(Tue) 21 Sep 1999 (W38),Girondins Bordeaux › FRA (2),3-2,2-1,Willem II Tilburg › NED (2),,,,
Group 1st,Matchday ?,1|G,(Tue) 21 Sep 1999 (W38),Spartak Moskva › RUS (4),1-1,0-1,Sparta Praha › CZE (2),,,,
Group 1st,Matchday ?,1|H,(Tue) 21 Sep 1999 (W38),Hertha BSC › GER (4),2-1,1-0,Chelsea FC › ENG (4),,,,
Group 1st,Matchday ?,1|H,(Tue) 21 Sep 1999 (W38),AC Milan › ITA (2),2-1,2-0,Galatasaray İstanbul AŞ › TUR (4),,,,
Group 1st,Matchday ?,1|A,(Wed) 22 Sep 1999 (W38),SS Lazio › ITA (2),2-1,0-0,Dinamo Kiev › UKR (6),,,,
Group 1st,Matchday ?,1|A,(Wed) 22 Sep 1999 (W38),NK Maribor › SVN (6),0-2,0-0,Bayer 04 Leverkusen › GER (2),,,,
Group 1st,Matchday ?,1|B,(Wed) 22 Sep 1999 (W38),Arsenal FC › ENG (2),3-1,1-0,AIK Solna › SWE (6),,,,
Group 1st,Matchday ?,1|B,(Wed) 22 Sep 1999 (W38),FC Barcelona › ESP (2),4-2,2-0,ACF Fiorentina › ITA (4),,,,
Group 1st,Matchday ?,1|C,(Wed) 22 Sep 1999 (W38),Borussia Dortmund › GER (4),3-1,1-1,Boavista FC › POR (4),,,,
Group 1st,Matchday ?,1|C,(Wed) 22 Sep 1999 (W38),Rosenborg BK › NOR (2),2-2,2-2,Feyenoord Rotterdam › NED (2),,,,
Group 1st,Matchday ?,1|D,(Wed) 22 Sep 1999 (W38),SK Sturm Graz › AUT (4),0-3,0-3,Manchester United FC › ENG (2),,,,
Group 1st,Matchday ?,1|D,(Wed) 22 Sep 1999 (W38),Dinamo Zagreb › CRO (4),1-2,0-1,Olympique Marseille › FRA (2),,,,
Group 1st,Matchday ?,1|E,(Tue) 28 Sep 1999 (W39),Olympiacos › GRE (3),3-1,1-0,Molde FK › NOR (7),,,,
Group 1st,Matchday ?,1|E,(Tue) 28 Sep 1999 (W39),Real Madrid CF › ESP (3),3-1,2-1,FC Porto › POR (3),,,,
Group 1st,Matchday ?,1|F,(Tue) 28 Sep 1999 (W39),Bayern München › GER (3),1-1,1-0,Valencia CF › ESP (5),,,,
Group 1st,Matchday ?,1|F,(Tue) 28 Sep 1999 (W39),PSV Eindhoven › NED (5),0-1,0-0,Rangers FC › SCO (7),,,,
Group 1st,Matchday ?,1|G,(Tue) 28 Sep 1999 (W39),Girondins Bordeaux › FRA (3),2-1,1-0,Spartak Moskva › RUS (5),,,,
Group 1st,Matchday ?,1|G,(Tue) 28 Sep 1999 (W39),Sparta Praha › CZE (3),4-0,3-0,Willem II Tilburg › NED (3),,,,
Group 1st,Matchday ?,1|H,(Tue) 28 Sep 1999 (W39),Chelsea FC › ENG (5),1-0,0-0,Galatasaray İstanbul AŞ › TUR (5),,,,
Group 1st,Matchday ?,1|H,(Tue) 28 Sep 1999 (W39),AC Milan › ITA (3),1-1,0-0,Hertha BSC › GER (5),,,,
Group 1st,Matchday ?,1|A,(Wed) 29 Sep 1999 (W39),SS Lazio › ITA (3),4-0,0-0,NK Maribor › SVN (7),,,,
Group 1st,Matchday ?,1|A,(Wed) 29 Sep 1999 (W39),Bayer 04 Leverkusen › GER (3),1-1,0-0,Dinamo Kiev › UKR (7),,,,
Group 1st,Matchday ?,1|B,(Wed) 29 Sep 1999 (W39),AIK Solna › SWE (7),0-0,0-0,ACF Fiorentina › ITA (5),,,,
Group 1st,Matchday ?,1|B,(Wed) 29 Sep 1999 (W39),FC Barcelona › ESP (3),1-1,1-0,Arsenal FC › ENG (3),,,,
Group 1st,Matchday ?,1|C,(Wed) 29 Sep 1999 (W39),Rosenborg BK › NOR (3),2-2,1-2,Borussia Dortmund › GER (5),,,,
Group 1st,Matchday ?,1|C,(Wed) 29 Sep 1999 (W39),Boavista FC › POR (5),1-1,0-0,Feyenoord Rotterdam › NED (3),,,,
Group 1st,Matchday ?,1|D,(Wed) 29 Sep 1999 (W39),Dinamo Zagreb › CRO (5),3-0,2-0,SK Sturm Graz › AUT (5),,,,
Group 1st,Matchday ?,1|D,(Wed) 29 Sep 1999 (W39),Manchester United FC › ENG (3),2-1,0-1,Olympique Marseille › FRA (3),,,,
Group 1st,Matchday ?,1|A,(Tue) 19 Oct 1999 (W42),Dinamo Kiev › UKR (8),4-2,2-1,Bayer 04 Leverkusen › GER (4),,,,
Group 1st,Matchday ?,1|A,(Tue) 19 Oct 1999 (W42),NK Maribor › SVN (8),0-4,0-1,SS Lazio › ITA (4),,,,
Group 1st,Matchday ?,1|B,(Tue) 19 Oct 1999 (W42),Arsenal FC › ENG (4),2-4,1-2,FC Barcelona › ESP (4),,,,
Group 1st,Matchday ?,1|B,(Tue) 19 Oct 1999 (W42),ACF Fiorentina › ITA (6),3-0,2-0,AIK Solna › SWE (8),,,,
Group 1st,Matchday ?,1|C,(Tue) 19 Oct 1999 (W42),Feyenoord Rotterdam › NED (4),1-1,0-0,Boavista FC › POR (6),,,,
Group 1st,Matchday ?,1|C,(Tue) 19 Oct 1999 (W42),Borussia Dortmund › GER (6),0-3,0-1,Rosenborg BK › NOR (4),,,,
Group 1st,Matchday ?,1|D,(Tue) 19 Oct 1999 (W42),SK Sturm Graz › AUT (6),1-0,1-0,Dinamo Zagreb › CRO (6),,,,
Group 1st,Matchday ?,1|D,(Tue) 19 Oct 1999 (W42),Olympique Marseille › FRA (4),1-0,0-0,Manchester United FC › ENG (4),,,,
Group 1st,Matchday ?,1|E,(Wed) 20 Oct 1999 (W42),Molde FK › NOR (8),3-2,0-2,Olympiacos › GRE (4),,,,
Group 1st,Matchday ?,1|E,(Wed) 20 Oct 1999 (W42),FC Porto › POR (4),2-1,2-0,Real Madrid CF › ESP (4),,,,
Group 1st,Matchday ?,1|F,(Wed) 20 Oct 1999 (W42),Valencia CF › ESP (6),1-1,1-1,Bayern München › GER (4),,,,
Group 1st,Matchday ?,1|F,(Wed) 20 Oct 1999 (W42),Rangers FC › SCO (8),4-1,2-1,PSV Eindhoven › NED (6),,,,
Group 1st,Matchday ?,1|G,(Wed) 20 Oct 1999 (W42),Willem II Tilburg › NED (4),3-4,2-1,Sparta Praha › CZE (4),,,,
Group 1st,Matchday ?,1|G,(Wed) 20 Oct 1999 (W42),Spartak Moskva › RUS (6),1-2,0-1,Girondins Bordeaux › FRA (4),,,,
Group 1st,Matchday ?,1|H,(Wed) 20 Oct 1999 (W42),Galatasaray İstanbul AŞ › TUR (6),0-5,0-1,Chelsea FC › ENG (6),,,,
Group 1st,Matchday ?,1|H,(Wed) 20 Oct 1999 (W42),Hertha BSC › GER (6),1-0,1-0,AC Milan › ITA (4),,,,
Group 1st,Matchday ?,1|E,(Tue) 26 Oct 1999 (W43),Real Madrid CF › ESP (5),3-0,1-0,Olympiacos › GRE (5),,,,
Group 1st,Matchday ?,1|E,(Tue) 26 Oct 1999 (W43),FC Porto › POR (5),3-1,2-0,Molde FK › NOR (9),,,,
Group 1st,Matchday ?,1|F,(Tue) 26 Oct 1999 (W43),PSV Eindhoven › NED (7),2-1,1-0,Bayern München › GER (5),,,,
Group 1st,Matchday ?,1|F,(Tue) 26 Oct 1999 (W43),Rangers FC › SCO (9),1-2,0-2,Valencia CF › ESP (7),,,,
Group 1st,Matchday ?,1|G,(Tue) 26 Oct 1999 (W43),Spartak Moskva › RUS (7),1-1,1-0,Willem II Tilburg › NED (5),,,,
Group 1st,Matchday ?,1|G,(Tue) 26 Oct 1999 (W43),Girondins Bordeaux › FRA (5),0-0,0-0,Sparta Praha › CZE (5),,,,
Group 1st,Matchday ?,1|H,(Tue) 26 Oct 1999 (W43),AC Milan › ITA (5),1-1,0-0,Chelsea FC › ENG (7),,,,
Group 1st,Matchday ?,1|H,(Tue) 26 Oct 1999 (W43),Hertha BSC › GER (7),1-4,1-0,Galatasaray İstanbul AŞ › TUR (7),,,,
Group 1st,Matchday ?,1|A,(Wed) 27 Oct 1999 (W43),NK Maribor › SVN (9),1-2,0-1,Dinamo Kiev › UKR (9),,,,
Group 1st,Matchday ?,1|A,(Wed) 27 Oct 1999 (W43),SS Lazio › ITA (5),1-1,1-1,Bayer 04 Leverkusen › GER (5),,,,
Group 1st,Matchday ?,1|B,(Wed) 27 Oct 1999 (W43),FC Barcelona › ESP (5),5-0,3-0,AIK Solna › SWE (9),,,,
Group 1st,Matchday ?,1|B,(Wed) 27 Oct 1999 (W43),Arsenal FC › ENG (5),0-1,0-0,ACF Fiorentina › ITA (7),,,,
Group 1st,Matchday ?,1|C,(Wed) 27 Oct 1999 (W43),Rosenborg BK › NOR (5),2-0,0-0,Boavista FC › POR (7),,,,
Group 1st,Matchday ?,1|C,(Wed) 27 Oct 1999 (W43),Borussia Dortmund › GER (7),1-1,1-0,Feyenoord Rotterdam › NED (5),,,,
Group 1st,Matchday ?,1|D,(Wed) 27 Oct 1999 (W43),Dinamo Zagreb › CRO (7),1-2,0-1,Manchester United FC › ENG (5),,,,
Group 1st,Matchday ?,1|D,(Wed) 27 Oct 1999 (W43),SK Sturm Graz › AUT (7),3-2,1-0,Olympique Marseille › FRA (5),,,,
Group 1st,Matchday ?,1|A,(Tue) 2 Nov 1999 (W44),Bayer 04 Leverkusen › GER (6),0-0,0-0,NK Maribor › SVN (10),,,,
Group 1st,Matchday ?,1|A,(Tue) 2 Nov 1999 (W44),Dinamo Kiev › UKR (10),0-1,0-1,SS Lazio › ITA (6),,,,
Group 1st,Matchday ?,1|B,(Tue) 2 Nov 1999 (W44),AIK Solna › SWE (10),2-3,1-1,Arsenal FC › ENG (6),,,,
Group 1st,Matchday ?,1|B,(Tue) 2 Nov 1999 (W44),ACF Fiorentina › ITA (8),3-3,1-2,FC Barcelona › ESP (6),,,,
Group 1st,Matchday ?,1|C,(Tue) 2 Nov 1999 (W44),Boavista FC › POR (8),1-0,1-0,Borussia Dortmund › GER (8),,,,
Group 1st,Matchday ?,1|C,(Tue) 2 Nov 1999 (W44),Feyenoord Rotterdam › NED (6),1-0,0-0,Rosenborg BK › NOR (6),,,,
Group 1st,Matchday ?,1|D,(Tue) 2 Nov 1999 (W44),Olympique Marseille › FRA (6),2-2,0-1,Dinamo Zagreb › CRO (8),,,,
Group 1st,Matchday ?,1|D,(Tue) 2 Nov 1999 (W44),Manchester United FC › ENG (6),2-1,0-0,SK Sturm Graz › AUT (8),,,,
Group 1st,Matchday ?,1|E,(Wed) 3 Nov 1999 (W44),Olympiacos › GRE (6),1-0,0-0,FC Porto › POR (6),,,,
Group 1st,Matchday ?,1|E,(Wed) 3 Nov 1999 (W44),Molde FK › NOR (10),0-1,0-1,Real Madrid CF › ESP (6),,,,
