Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Tue) 13 Jul 1999 (W28),IB Vestmannaeyja › ISL (1),1-0,0-0,KF Tirana › ALB (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),Sloga Jugomagnat Skopje › MKD (1),1-0,0-0,Kapaz › AZE (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),Zalgiris Vilnius › LTU (1),2-0,0-0,Araks Ararat › ARM (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),Barry Town › WAL (1),0-0,0-0,Valletta › MLT (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),PFC Litex Lovech › BUL (1),3-0,0-0,Glentoran › NIR (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),HB › FRO (1),1-1,0-0,Haka Valkeakoski › FIN (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),Jeunesse Esch › LUX (1),0-2,0-0,Skonto › LVA (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),St Patrick's Athletic › IRL (1),0-5,0-0,Zimbru Chisinau › MDA (1),,,,
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 14 Jul 1999 (W28),Partizan Belgrade › SRB (1),6-0,0-0,Flora Tallinn › EST (1),,,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Kapaz › AZE (2),2-1,0-0,Sloga Jugomagnat Skopje › MKD (2),2-2 (agg.),,,away goals
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Araks Ararat › ARM (2),0-3,0-0,Zalgiris Vilnius › LTU (2),0-5 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Valletta › MLT (2),3-2,0-0,Barry Town › WAL (2),3-2 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Glentoran › NIR (2),0-2,0-0,PFC Litex Lovech › BUL (2),0-5 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Haka Valkeakoski › FIN (2),6-0,0-0,HB › FRO (2),7-1 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),KF Tirana › ALB (2),1-2,0-0,IB Vestmannaeyja › ISL (2),1-3 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Flora Tallinn › EST (2),1-4,0-0,Partizan Belgrade › SRB (2),1-10 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Zimbru Chisinau › MDA (2),5-0,0-0,St Patrick's Athletic › IRL (2),10-0 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 21 Jul 1999 (W29),Skonto › LVA (2),8-0,0-0,Jeunesse Esch › LUX (2),10-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),PFC Litex Lovech › BUL (3),4-1,0-0,Widzew Lodz › POL (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Beşiktaş İstanbul JK › TUR (1),1-1,0-0,Hapoel Haifa › ISR (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Dnepr Mogilev › BLR (1),0-1,0-0,AIK Solna › SWE (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Anorthosis Famagusta › CYP (1),2-1,0-0,SK Slovan Bratislava › SVK (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),Sloga Jugomagnat Skopje › MKD (3),0-1,0-0,Brondby IF › DEN (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 28 Jul 1999 (W30),CSKA Moskva › RUS (1),2-0,0-0,Molde FK › NOR (1),,,,
