Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
?,Round1,1,(Wed) 13 Sep 1967 (W37),Glentoran (1),1-1,1-0,SL Benfica (1),,,NIR,POR
?,Round1,1,(Wed) 13 Sep 1967 (W37),Beşiktaş İstanbul JK (1),0-1,0-1,Rapid Wien (1),,,TUR,AUT
?,Round1,1,(Sun) 17 Sep 1967 (W37),Valur Reykjavik (1),1-1,1-1,Jeunesse Esch (1),,,ISL,LUX
?,Round1,2,(Tue) 19 Sep 1967 (W38),Rapid Wien (2),3-0,2-0,Beşiktaş İstanbul JK (2),,,AUT,TUR
?,Round1,1,(Wed) 20 Sep 1967 (W38),Skeid Oslo (1),0-1,0-1,AC Sparta Praha (1),,,NOR,CZE
?,Round1,1,(Wed) 20 Sep 1967 (W38),AFC Ajax (1),1-1,1-1,Real Madrid CF (1),,,NED,ESP
?,Round1,1,(Wed) 20 Sep 1967 (W38),AS Saint-Etienne (1),2-0,1-0,Kuopion PS (1),,,FRA,FIN
?,Round1,1,(Wed) 20 Sep 1967 (W38),Basel (1),1-2,1-0,Hvidovre IF (1),,,SUI,DEN
?,Round1,1,(Wed) 20 Sep 1967 (W38),Dundalk (1),0-1,0-0,Budapesti Vasas (1),,,IRL,HUN
?,Round1,1,(Wed) 20 Sep 1967 (W38),Celtic FC (1),1-2,0-2,Dinamo Kiev (1),,,SCO,UKR
?,Round1,1,(Wed) 20 Sep 1967 (W38),Gornik Zabrze (1),3-0,1-0,Djurgardens IF (1),,,POL,SWE
?,Round1,1,(Wed) 20 Sep 1967 (W38),FC Karl-Marx-Stadt (1),1-3,1-3,RSC Anderlecht (1),,,GER,BEL
?,Round1,1,(Wed) 20 Sep 1967 (W38),Omonia Nicosia (1),2-2,2-0,FK Sarajevo (1),,,CYP,BIH
?,Round1,1,(Wed) 20 Sep 1967 (W38),Manchester United FC (1),4-0,2-0,Hibernians (1),,,ENG,MLT
?,Round1,1,(Wed) 20 Sep 1967 (W38),Olympiacos (1),0-0,0-0,Juventus (1),,,GRE,ITA
?,Round1,2,(Wed) 27 Sep 1967 (W39),Hibernians (2),0-0,0-0,Manchester United FC (2),,,MLT,ENG
?,Round1,1,(Wed) 27 Sep 1967 (W39),Trakia Plovdiv (1),2-0,0-0,Rapid Bucuresti (1),,,BUL,ROU
?,Round1,2,(Sun) 1 Oct 1967 (W39),Jeunesse Esch (2),3-3,0-2,Valur Reykjavik (2),,,LUX,ISL
?,Round1,2,(Wed) 4 Oct 1967 (W40),SL Benfica (2),0-0,0-0,Glentoran (2),,,POR,NIR
?,Round1,2,(Wed) 4 Oct 1967 (W40),AC Sparta Praha (2),1-1,0-1,Skeid Oslo (2),,,CZE,NOR
