Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Sun) 29 Aug 1965 (W34),IB Keflavik › ISL (1),1-4,0-3,Ferencvaros › HUN (1),,,
Round 1 | Leg 1,(Tue) 31 Aug 1965 (W35),Lyn Oslo › NOR (1),5-3,3-3,Derry City › NIR (1),,,
Round 1 | Leg 1,(Wed) 8 Sep 1965 (W36),Fenerbahçe İstanbul SK › TUR (1),0-0,0-0,RSC Anderlecht › BEL (1),,,
Round 1 | Leg 1,(Wed) 8 Sep 1965 (W36),KF Tirana › ALB (1),0-0,0-0,Kilmarnock FC › SCO (1),,,
Round 1 | Leg 1,(Wed) 8 Sep 1965 (W36),Feyenoord Rotterdam › NED (1),2-1,0-1,Real Madrid CF › ESP (1),,,
Round 1 | Leg 2,(Wed) 8 Sep 1965 (W36),Ferencvaros › HUN (2),9-1,6-1,IB Keflavik › ISL (2),13-2 (agg.),,
Round 1 | Leg 2,(Thu) 9 Sep 1965 (W36),Derry City › NIR (2),5-1,2-1,Lyn Oslo › NOR (2),8-6 (agg.),,
Round 1 | Leg 1,(Sun) 12 Sep 1965 (W36),Djurgardens IF › SWE (1),2-1,1-1,Levski Sofia › BUL (1),,,
Round 1 | Leg 1,(Wed) 15 Sep 1965 (W37),Drumcondra Dublin › IRL (1),1-0,0-0,ASK Vorwarts Berlin › GER (1),,,
Round 1 | Leg 2,(Wed) 15 Sep 1965 (W37),RSC Anderlecht › BEL (2),5-1,2-0,Fenerbahçe İstanbul SK › TUR (2),5-1 (agg.),,
Round 1 | Leg 1,(Wed) 15 Sep 1965 (W37),Linzer ASK › AUT (1),1-3,0-2,Gornik Zabrze › POL (1),,,
Round 1 | Leg 1,(Wed) 22 Sep 1965 (W38),Lausanne Sports › SUI (1),0-0,0-0,AC Sparta Praha › CZE (1),,,
Round 1 | Leg 2,(Wed) 22 Sep 1965 (W38),Real Madrid CF › ESP (2),5-0,4-0,Feyenoord Rotterdam › NED (2),6-2 (agg.),,
Round 1 | Leg 1,(Wed) 22 Sep 1965 (W38),HJK Helsinki › FIN (1),2-3,1-3,Manchester United FC › ENG (1),,,
Round 1 | Leg 1,(Wed) 22 Sep 1965 (W38),Partizan Belgrade › SRB (1),2-0,1-0,FC Nantes › FRA (1),,,
Round 1 | Leg 1,(Sun) 26 Sep 1965 (W38),Panathinaikos FC › GRE (1),4-1,2-1,Sliema Wanderers › MLT (1),,,
Round 1 | Leg 1,(Tue) 28 Sep 1965 (W39),Dinamo Bucuresti › ROU (1),4-0,0-0,B 1909 Odense › DEN (1),,,
Round 1 | Leg 2,(Wed) 29 Sep 1965 (W39),AC Sparta Praha › CZE (2),4-0,2-0,Lausanne Sports › SUI (2),4-0 (agg.),,
Round 1 | Leg 2,(Wed) 29 Sep 1965 (W39),Kilmarnock FC › SCO (2),1-0,0-0,KF Tirana › ALB (2),1-0 (agg.),,
Round 1 | Leg 1,(Thu) 30 Sep 1965 (W39),Stade Dudelange › LUX (1),0-8,0-3,SL Benfica › POR (1),,,
Round 1 | Leg 2,(Sun) 3 Oct 1965 (W39),Levski Sofia › BUL (2),6-0,4-0,Djurgardens IF › SWE (2),7-2 (agg.),,
Round 1 | Leg 2,(Tue) 5 Oct 1965 (W40),SL Benfica › POR (2),10-0,5-0,Stade Dudelange › LUX (2),18-0 (agg.),,
Round 1 | Leg 2,(Wed) 6 Oct 1965 (W40),Manchester United FC › ENG (2),6-0,2-0,HJK Helsinki › FIN (2),9-2 (agg.),,
Round 1 | Leg 2,(Wed) 6 Oct 1965 (W40),B 1909 Odense › DEN (2),2-3,2-3,Dinamo Bucuresti › ROU (2),2-7 (agg.),,
Round 1 | Leg 1,(Wed) 6 Oct 1965 (W40),APOEL Nikosia › CYP (1),0-5,0-4,Werder Bremen › GER (1),,,
Round 1 | Leg 2,(Sun) 10 Oct 1965 (W40),Sliema Wanderers › MLT (2),1-0,1-0,Panathinaikos FC › GRE (2),2-4 (agg.),,
Round 1 | Leg 2,(Wed) 13 Oct 1965 (W41),Werder Bremen › GER (2),5-0,2-0,APOEL Nikosia › CYP (2),10-0 (agg.),,
Round 1 | Leg 2,(Wed) 13 Oct 1965 (W41),FC Nantes › FRA (2),2-2,1-1,Partizan Belgrade › SRB (2),2-4 (agg.),,
Round 1 | Leg 2,(Fri) 22 Oct 1965 (W42),ASK Vorwarts Berlin › GER (2),3-0,1-0,Drumcondra Dublin › IRL (2),3-1 (agg.),,
Round 1 | Leg 2,(Fri) 22 Oct 1965 (W42),Gornik Zabrze › POL (2),2-1,2-1,Linzer ASK › AUT (2),5-2 (agg.),,
Round of 16 | Leg 1,(Tue) 9 Nov 1965 (W45),Partizan Belgrade › SRB (3),3-0,0-0,Werder Bremen › GER (3),,,
Round of 16 | Leg 1,(Wed) 10 Nov 1965 (W45),Ferencvaros › HUN (3),0-0,0-0,Panathinaikos FC › GRE (3),,,
Round of 16 | Leg 1,(Wed) 10 Nov 1965 (W45),Levski Sofia › BUL (3),2-2,1-1,SL Benfica › POR (3),,,
Round of 16 | Leg 1,(Wed) 17 Nov 1965 (W46),ASK Vorwarts Berlin › GER (3),0-2,0-0,Manchester United FC › ENG (3),,,
Round of 16 | Leg 2,(Wed) 17 Nov 1965 (W46),Panathinaikos FC › GRE (4),1-3,0-2,Ferencvaros › HUN (4),1-3 (agg.),,
Round of 16 | Leg 1,(Wed) 17 Nov 1965 (W46),Kilmarnock FC › SCO (3),2-2,1-1,Real Madrid CF › ESP (3),,,
Round of 16 | Leg 2,(Wed) 17 Nov 1965 (W46),Werder Bremen › GER (4),1-0,1-0,Partizan Belgrade › SRB (4),1-3 (agg.),,
Round of 16 | Leg 1,(Tue) 23 Nov 1965 (W47),RSC Anderlecht › BEL (3),9-0,3-0,Derry City › NIR (3),,,
Round of 16 | Leg 1,(Wed) 24 Nov 1965 (W47),AC Sparta Praha › CZE (3),3-0,1-0,Gornik Zabrze › POL (3),,,
