Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round of 16 | Leg 2,(Sun) 28 Nov 1965 (W47),Gornik Zabrze › POL (4),1-2,0-1,AC Sparta Praha › CZE (4),1-5 (agg.),,
Round of 16 | Leg 2,(Wed) 1 Dec 1965 (W48),Derry City › NIR (4),0-3,0-0,RSC Anderlecht › BEL (4),0-12 (agg.),,
Round of 16 | Leg 2,(Wed) 1 Dec 1965 (W48),Manchester United FC › ENG (4),3-1,2-0,ASK Vorwarts Berlin › GER (4),5-1 (agg.),,
Round of 16 | Leg 1,(Wed) 1 Dec 1965 (W48),Dinamo Bucuresti › ROU (3),2-1,1-1,Internazionale › ITA (1),,,
Round of 16 | Leg 2,(Wed) 1 Dec 1965 (W48),Real Madrid CF › ESP (4),5-1,3-1,Kilmarnock FC › SCO (4),7-3 (agg.),,
Round of 16 | Leg 2,(Wed) 8 Dec 1965 (W49),SL Benfica › POR (4),3-2,2-1,Levski Sofia › BUL (4),5-4 (agg.),,
Round of 16 | Leg 2,(Wed) 15 Dec 1965 (W50),Internazionale › ITA (2),2-0,0-0,Dinamo Bucuresti › ROU (4),3-2 (agg.),,
Quarterfinals | Leg 1,(Wed) 2 Feb 1966 (W5),Manchester United FC › ENG (5),3-2,2-1,SL Benfica › POR (5),,,
Quarterfinals | Leg 1,(Wed) 23 Feb 1966 (W8),RSC Anderlecht › BEL (5),1-0,1-0,Real Madrid CF › ESP (5),,,
Quarterfinals | Leg 1,(Wed) 23 Feb 1966 (W8),Internazionale › ITA (3),4-0,2-0,Ferencvaros › HUN (5),,,
Quarterfinals | Leg 1,(Wed) 2 Mar 1966 (W9),AC Sparta Praha › CZE (5),4-1,1-1,Partizan Belgrade › SRB (5),,,
Quarterfinals | Leg 2,(Wed) 2 Mar 1966 (W9),Ferencvaros › HUN (6),1-1,1-0,Internazionale › ITA (4),1-5 (agg.),,
Quarterfinals | Leg 2,(Wed) 9 Mar 1966 (W10),SL Benfica › POR (6),1-5,0-3,Manchester United FC › ENG (6),3-8 (agg.),,
Quarterfinals | Leg 2,(Wed) 9 Mar 1966 (W10),Partizan Belgrade › SRB (6),5-0,4-0,AC Sparta Praha › CZE (6),6-4 (agg.),,
Quarterfinals | Leg 2,(Wed) 9 Mar 1966 (W10),Real Madrid CF › ESP (6),4-2,2-0,RSC Anderlecht › BEL (6),4-3 (agg.),,
Semifinals | Leg 1,(Wed) 13 Apr 1966 (W15),Real Madrid CF › ESP (7),1-0,1-0,Internazionale › ITA (5),,,
Semifinals | Leg 1,(Wed) 13 Apr 1966 (W15),Partizan Belgrade › SRB (7),2-0,0-0,Manchester United FC › ENG (7),,,
Semifinals | Leg 2,(Wed) 20 Apr 1966 (W16),Manchester United FC › ENG (8),1-0,0-0,Partizan Belgrade › SRB (8),1-2 (agg.),,
Semifinals | Leg 2,(Wed) 20 Apr 1966 (W16),Internazionale › ITA (6),1-1,0-1,Real Madrid CF › ESP (8),1-2 (agg.),,
Final,(Wed) 11 May 1966 (W19),Real Madrid CF › ESP (9),2-1,0-0,Partizan Belgrade › SRB (9),,,
