Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Wed) 26 Aug 1959 (W34),OGC Nice › FRA (1),3-2,2-1,Shamrock Rovers › IRL (1),4-3 (agg.),,
Round 1 | Leg 1,(Thu) 3 Sep 1959 (W35),CDNA Sofia › BUL (1),2-2,1-1,FC Barcelona › ESP (1),4-8 (agg.),,
Round 1 | Leg 1,(Wed) 9 Sep 1959 (W36),Linfield › NIR (1),2-1,2-1,IFK Goteborg › SWE (1),3-7 (agg.),,
Round 1 | Leg 1,(Wed) 9 Sep 1959 (W36),Jeunesse Esch › LUX (1),5-0,2-0,LKS Lodz › POL (1),6-2 (agg.),,
Round 1 | Leg 1,(Wed) 9 Sep 1959 (W36),Wiener Sport-Club › AUT (1),0-0,0-0,Petrolul Ploiesti › ROU (1),2-1 (agg.),,
Round 1 | Leg 1,(Fri) 11 Sep 1959 (W36),FK Inter Bratislava › SVK (1),2-1,1-1,FC Porto › POR (1),4-1 (agg.),,
Round 1 | Leg 1,(Sun) 13 Sep 1959 (W36),Olympiacos › GRE (1),2-2,2-1,AC Milan › ITA (1),3-5 (agg.),,
Round 1 | Leg 1,(Sun) 13 Sep 1959 (W36),Fenerbahçe İstanbul SK › TUR (1),1-1,0-1,Csepel SC › HUN (1),4-3 (agg.),,
Round 1 | Leg 1,(Wed) 16 Sep 1959 (W37),Rangers FC › SCO (1),5-2,2-0,RSC Anderlecht › BEL (1),7-2 (agg.),,
Round 1 | Leg 2,(Wed) 16 Sep 1959 (W37),Petrolul Ploiesti › ROU (2),1-2,0-2,Wiener Sport-Club › AUT (2),1-2 (agg.),,
Round 1 | Leg 2,(Wed) 23 Sep 1959 (W38),AC Milan › ITA (2),3-1,2-0,Olympiacos › GRE (2),5-3 (agg.),,
Round 1 | Leg 2,(Wed) 23 Sep 1959 (W38),FC Barcelona › ESP (2),6-2,4-1,CDNA Sofia › BUL (2),8-4 (agg.),,
Round 1 | Leg 2,(Wed) 23 Sep 1959 (W38),Csepel SC › HUN (2),2-3,2-1,Fenerbahçe İstanbul SK › TUR (2),3-4 (agg.),,
Round 1 | Leg 2,(Wed) 23 Sep 1959 (W38),RSC Anderlecht › BEL (2),0-2,0-0,Rangers FC › SCO (2),2-7 (agg.),,
Round 1 | Leg 2,(Wed) 23 Sep 1959 (W38),LKS Lodz › POL (2),2-1,0-1,Jeunesse Esch › LUX (2),2-6 (agg.),,
Round 1 | Leg 2,(Wed) 23 Sep 1959 (W38),Shamrock Rovers › IRL (2),1-1,1-1,OGC Nice › FRA (2),3-4 (agg.),,
Round 1 | Leg 2,(Wed) 23 Sep 1959 (W38),IFK Goteborg › SWE (2),6-1,2-1,Linfield › NIR (2),7-3 (agg.),,
Round 1 | Leg 2,(Tue) 29 Sep 1959 (W39),FC Porto › POR (2),0-2,0-0,FK Inter Bratislava › SVK (2),1-4 (agg.),,
Round 1 | Leg 1,(Wed) 30 Sep 1959 (W39),ASK Vorwarts Berlin › GER (1),2-1,2-1,Wolverhampton Wanderers FC › ENG (1),2-3 (agg.),,
Round 1 | Leg 2,(Wed) 7 Oct 1959 (W40),Wolverhampton Wanderers FC › ENG (2),2-0,0-0,ASK Vorwarts Berlin › GER (2),3-2 (agg.),,
Round of 16 | Leg 1,(Wed) 21 Oct 1959 (W42),B 1909 Odense › DEN (1),0-3,0-0,Wiener Sport-Club › AUT (3),2-5 (agg.),,
Round of 16 | Leg 1,(Wed) 21 Oct 1959 (W42),Real Madrid CF › ESP (1),7-0,3-0,Jeunesse Esch › LUX (3),12-2 (agg.),,
Round of 16 | Leg 1,(Sun) 25 Oct 1959 (W42),Sparta Rotterdam › NED (1),3-1,2-0,IFK Goteborg › SWE (3),7-5 (agg.),,
Round of 16 | Leg 2,(Wed) 4 Nov 1959 (W44),Wiener Sport-Club › AUT (4),2-2,0-1,B 1909 Odense › DEN (2),5-2 (agg.),,
Round of 16 | Leg 1,(Wed) 4 Nov 1959 (W44),AC Milan › ITA (3),0-2,0-2,FC Barcelona › ESP (3),1-7 (agg.),,
Round of 16 | Leg 1,(Wed) 4 Nov 1959 (W44),BSC Young Boys › SUI (1),1-4,1-1,Frankfurter SG Eintracht › GER (1),2-5 (agg.),,
Round of 16 | Leg 2,(Wed) 4 Nov 1959 (W44),Jeunesse Esch › LUX (4),2-5,2-5,Real Madrid CF › ESP (2),2-12 (agg.),,
Round of 16 | Leg 2,(Thu) 5 Nov 1959 (W44),IFK Goteborg › SWE (4),3-1,1-0,Sparta Rotterdam › NED (2),5-7 (agg.),,
Round of 16 | Leg 1,(Wed) 11 Nov 1959 (W45),Crvena Zvezda › SRB (1),1-1,1-1,Wolverhampton Wanderers FC › ENG (3),1-4 (agg.),,
Round of 16 | Leg 1,(Wed) 11 Nov 1959 (W45),Rangers FC › SCO (3),4-3,2-2,FK Inter Bratislava › SVK (3),5-4 (agg.),,
Round of 16 | Leg 2,(Wed) 18 Nov 1959 (W46),FK Inter Bratislava › SVK (4),1-1,0-0,Rangers FC › SCO (4),4-5 (agg.),,
Round of 16 | Leg 1,(Thu) 19 Nov 1959 (W46),Fenerbahçe İstanbul SK › TUR (3),2-1,1-1,OGC Nice › FRA (3),4-8 (agg.),,
Round of 16 | Leg 2,(Tue) 24 Nov 1959 (W47),Wolverhampton Wanderers FC › ENG (4),3-0,1-0,Crvena Zvezda › SRB (2),4-1 (agg.),,
Round of 16 | Leg 2,(Wed) 25 Nov 1959 (W47),Frankfurter SG Eintracht › GER (2),1-1,0-0,BSC Young Boys › SUI (2),5-2 (agg.),,
Round of 16 | Leg 2,(Wed) 25 Nov 1959 (W47),FC Barcelona › ESP (4),5-1,3-1,AC Milan › ITA (4),7-1 (agg.),,
Round of 16 | Replay,(Wed) 25 Nov 1959 (W47),Sparta Rotterdam › NED (3),3-1,2-1,IFK Goteborg › SWE (5),7-5 (agg.),,
Round of 16 | Leg 2,(Thu) 3 Dec 1959 (W48),OGC Nice › FRA (4),2-1,0-0,Fenerbahçe İstanbul SK › TUR (4),8-4 (agg.),,
Round of 16 | Replay,(Wed) 23 Dec 1959 (W51),OGC Nice › FRA (5),5-1,3-0,Fenerbahçe İstanbul SK › TUR (5),8-4 (agg.),,
Quarterfinals | Leg 1,(Thu) 4 Feb 1960 (W5),OGC Nice › FRA (6),3-2,0-2,Real Madrid CF › ESP (3),3-6 (agg.),,
Quarterfinals | Leg 1,(Wed) 10 Feb 1960 (W6),FC Barcelona › ESP (5),4-0,2-0,Wolverhampton Wanderers FC › ENG (5),9-2 (agg.),,
Quarterfinals | Leg 2,(Wed) 2 Mar 1960 (W9),Wolverhampton Wanderers FC › ENG (6),2-5,1-3,FC Barcelona › ESP (6),2-9 (agg.),,
Quarterfinals | Leg 2,(Wed) 2 Mar 1960 (W9),Real Madrid CF › ESP (4),4-0,3-0,OGC Nice › FRA (7),6-3 (agg.),,
Quarterfinals | Leg 1,(Thu) 3 Mar 1960 (W9),Frankfurter SG Eintracht › GER (3),2-1,1-0,Wiener Sport-Club › AUT (5),3-2 (agg.),,
Quarterfinals | Leg 1,(Wed) 9 Mar 1960 (W10),Sparta Rotterdam › NED (4),2-3,1-2,Rangers FC › SCO (5),5-6 (agg.),,
Quarterfinals | Leg 2,(Wed) 16 Mar 1960 (W11),Rangers FC › SCO (6),0-1,0-0,Sparta Rotterdam › NED (5),6-5 (agg.),,
Quarterfinals | Leg 2,(Wed) 16 Mar 1960 (W11),Wiener Sport-Club › AUT (6),1-1,1-0,Frankfurter SG Eintracht › GER (4),2-3 (agg.),,
Quarterfinals | Replay,(Wed) 30 Mar 1960 (W13),Rangers FC › SCO (7),3-2,1-1,Sparta Rotterdam › NED (6),6-5 (agg.),,
Semifinals | Leg 1,(Wed) 13 Apr 1960 (W15),Frankfurter SG Eintracht › GER (5),6-1,1-1,Rangers FC › SCO (8),12-4 (agg.),,
Semifinals | Leg 1,(Thu) 21 Apr 1960 (W16),Real Madrid CF › ESP (5),3-1,2-1,FC Barcelona › ESP (7),6-2 (agg.),,
Semifinals | Leg 2,(Wed) 27 Apr 1960 (W17),FC Barcelona › ESP (8),1-3,0-1,Real Madrid CF › ESP (6),2-6 (agg.),,
Semifinals | Leg 2,(Thu) 5 May 1960 (W18),Rangers FC › SCO (9),3-6,1-3,Frankfurter SG Eintracht › GER (6),4-12 (agg.),,
Final,(Wed) 18 May 1960 (W20),Real Madrid CF › ESP (7),7-3,0-0,Frankfurter SG Eintracht › GER (7),,,
