Stage,Round,Leg,Group,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),Widzew Lodz (1),2-1,0-0,Brondby IF (1),,,POL,DEN
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),Rangers FC (1),3-1,0-0,Alania Vladikavkaz (1),,,SCO,RUS
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),Club Brugge (1),2-2,0-0,Steaua Bucuresti (1),,,BEL,ROU
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),Rapid Wien (1),2-0,0-0,Dinamo Kiev (1),,,AUT,UKR
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),Maccabi Tel Aviv (1),0-1,0-0,Fenerbahçe İstanbul SK (1),,,ISR,TUR
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),IFK Goteborg (1),3-0,0-0,Ferencvaros (1),,,SWE,HUN
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),Grasshoppers Zurich (1),5-0,0-0,Slavia Praha (1),,,SUI,CZE
Qualifying,Preliminary Round,,,(Wed) 7 Aug 1996 (W32),Panathinaikos FC (1),1-0,0-0,Rosenborg BK (1),,,GRE,NOR
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Brondby IF (2),3-2,0-0,Widzew Lodz (2),,,DEN,POL
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Alania Vladikavkaz (2),2-7,0-0,Rangers FC (2),,,RUS,SCO
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Steaua Bucuresti (2),3-0,0-0,Club Brugge (2),,,ROU,BEL
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Dinamo Kiev (2),2-4,0-0,Rapid Wien (2),,,UKR,AUT
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Fenerbahçe İstanbul SK (2),1-1,0-0,Maccabi Tel Aviv (2),,,TUR,ISR
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Ferencvaros (2),1-1,0-0,IFK Goteborg (2),,,HUN,SWE
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Slavia Praha (2),0-1,0-0,Grasshoppers Zurich (2),,,CZE,SUI
Qualifying,Preliminary Round,,,(Wed) 21 Aug 1996 (W34),Rosenborg BK (2),1-0,0-0,Panathinaikos FC (2),3-0 (a.e.t.),,NOR,GRE
Group,Matchday ?,D,,(Wed) 11 Sep 1996 (W37),AC Milan (1),2-3,1-0,FC Porto (1),,,ITA,POR
Group,Matchday ?,A,,(Wed) 11 Sep 1996 (W37),AJ Auxerre (1),0-1,0-1,AFC Ajax (1),,,FRA,NED
