Stage,Round,Leg,Group,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
,Round 1,,,(Wed) 16 Sep 1987 (W37),Aarhus GF (1),4-1,4-0,Jeunesse Esch (1),,,DEN,LUX
,Round 1,,,(Wed) 16 Sep 1987 (W37),Fram Reykjavik (1),0-2,0-0,AC Sparta Praha (1),,,ISL,CZE
,Round 1,,,(Wed) 16 Sep 1987 (W37),Bayern München (1),4-0,2-0,CSKA Sofia (1),,,GER,BUL
,Round 1,,,(Wed) 16 Sep 1987 (W37),Girondins Bordeaux (1),2-0,0-0,BFC Dynamo (1),,,FRA,GER
,Round 1,,,(Wed) 16 Sep 1987 (W37),Dinamo Kiev (1),1-0,0-0,Rangers FC (1),,,UKR,SCO
,Round 1,,,(Wed) 16 Sep 1987 (W37),Neuchatel Xamax FC (1),5-0,3-0,FC Kuusysi (1),,,SUI,FIN
,Round 1,,,(Wed) 16 Sep 1987 (W37),FC Porto (1),3-0,1-0,Vardar Skopje (1),,,POR,MKD
,Round 1,,,(Wed) 16 Sep 1987 (W37),PSV Eindhoven (1),3-0,0-0,Galatasaray İstanbul AŞ (1),,,NED,TUR
,Round 1,,,(Wed) 16 Sep 1987 (W37),Olympiacos (1),1-1,1-1,Gornik Zabrze (1),,,GRE,POL
,Round 1,,,(Wed) 16 Sep 1987 (W37),Rapid Wien (1),6-0,3-0,Hamrun Spartans (1),,,AUT,MLT
,Round 1,,,(Wed) 16 Sep 1987 (W37),Lillestrom (1),1-1,1-0,Linfield (1),,,NOR,NIR
,Round 1,,,(Wed) 16 Sep 1987 (W37),Malmo FF (1),0-1,0-1,RSC Anderlecht (1),,,SWE,BEL
,Round 1,,,(Wed) 16 Sep 1987 (W37),Steaua Bucuresti (1),4-0,2-0,MTK (1),,,ROU,HUN
,Round 1,,,(Wed) 16 Sep 1987 (W37),Shamrock Rovers (1),0-1,0-1,Omonia Nicosia (1),,,IRL,CYP
,Round 1,,,(Wed) 16 Sep 1987 (W37),Real Madrid CF (1),2-0,1-0,SSC Napoli (1),,,ESP,ITA
,Round 1,,,(Wed) 16 Sep 1987 (W37),SL Benfica (1),4-0,1-0,FK Partizani Tirana (1),,,POR,ALB
,Round 1,,,(Wed) 30 Sep 1987 (W39),Jeunesse Esch (2),1-0,0-0,Aarhus GF (2),,,LUX,DEN
,Round 1,,,(Wed) 30 Sep 1987 (W39),AC Sparta Praha (2),8-0,3-0,Fram Reykjavik (2),,,CZE,ISL
,Round 1,,,(Wed) 30 Sep 1987 (W39),CSKA Sofia (2),0-1,0-0,Bayern München (2),,,BUL,GER
,Round 1,,,(Wed) 30 Sep 1987 (W39),BFC Dynamo (2),0-2,0-0,Girondins Bordeaux (2),,,GER,FRA
,Round 1,,,(Wed) 30 Sep 1987 (W39),Rangers FC (2),2-0,1-0,Dinamo Kiev (2),,,SCO,UKR
