Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Omonia Nicosia › CYP (2),5-0,3-0,Rabat Ajax › MLT (2),10-0 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Steaua Bucuresti › ROU (2),4-1,2-1,Vejle BK › DEN (2),5-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Valerenga IF › NOR (2),0-2,0-0,Zenit St. Petersburg › RUS (2),0-4 (agg.),,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),FC Barcelona › ESP (3),2-0,0-0,FC Porto › POR (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),Servette Geneve › SUI (3),0-0,0-0,Abderden › SCO (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),Bayern München › GER (3),4-2,3-1,Austria Wien › AUT (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),Budapest Honved SE › HUN (3),1-0,1-0,Steaua Bucuresti › ROU (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),Zenit St. Petersburg › RUS (3),2-1,0-1,FC Kuusysi › FIN (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),IFK Goteborg › SWE (3),4-0,2-0,Fenerbahçe İstanbul SK › TUR (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),Hellas Verona › ITA (3),0-0,0-0,Juventus › ITA (3),,,,
Round of 16 | Leg 1,(Wed) 23 Oct 1985 (W42),RSC Anderlecht › BEL (1),1-0,1-0,Omonia Nicosia › CYP (3),,,,
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),FC Porto › POR (4),3-1,0-0,FC Barcelona › ESP (4),3-3 (agg.),,,away goals
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),Abderden › SCO (4),1-0,1-0,Servette Geneve › SUI (4),1-0 (agg.),,,
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),Austria Wien › AUT (4),3-3,1-1,Bayern München › GER (4),5-7 (agg.),,,
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),Steaua Bucuresti › ROU (4),4-1,2-0,Budapest Honved SE › HUN (4),4-2 (agg.),,,
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),FC Kuusysi › FIN (4),2-1 (*),0-0,Zenit St. Petersburg › RUS (4),3-3 (agg.),3-1 (a.e.t.),,
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),Fenerbahçe İstanbul SK › TUR (4),2-1,0-0,IFK Goteborg › SWE (4),2-5 (agg.),,,
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),Omonia Nicosia › CYP (4),1-3,1-2,RSC Anderlecht › BEL (2),1-4 (agg.),,,
Round of 16 | Leg 2,(Thu) 7 Nov 1985 (W44),Juventus › ITA (4),2-0,1-0,Hellas Verona › ITA (4),2-0 (agg.),,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1986 (W9),Abderden › SCO (5),2-2,1-1,IFK Goteborg › SWE (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1986 (W9),FC Barcelona › ESP (5),1-0,0-0,Juventus › ITA (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1986 (W9),Bayern München › GER (5),2-1,2-0,RSC Anderlecht › BEL (3),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1986 (W9),Steaua Bucuresti › ROU (5),0-0,0-0,FC Kuusysi › FIN (5),,,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1986 (W11),IFK Goteborg › SWE (6),0-0,0-0,Abderden › SCO (6),2-2 (agg.),,,away goals
Quarterfinals | Leg 2,(Wed) 19 Mar 1986 (W11),Juventus › ITA (6),1-1,1-1,FC Barcelona › ESP (6),1-2 (agg.),,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1986 (W11),FC Kuusysi › FIN (6),0-1,0-0,Steaua Bucuresti › ROU (6),0-1 (agg.),,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1986 (W11),RSC Anderlecht › BEL (4),2-0,2-0,Bayern München › GER (6),3-2 (agg.),,,
Semifinals | Leg 1,(Wed) 2 Apr 1986 (W13),IFK Goteborg › SWE (7),3-0,2-0,FC Barcelona › ESP (7),,,,
Semifinals | Leg 1,(Wed) 2 Apr 1986 (W13),RSC Anderlecht › BEL (5),1-0,0-0,Steaua Bucuresti › ROU (7),,,,
Semifinals | Leg 2,(Wed) 16 Apr 1986 (W15),Steaua Bucuresti › ROU (8),3-0,2-0,RSC Anderlecht › BEL (6),3-1 (agg.),,,
Semifinals | Leg 2,(Wed) 16 Apr 1986 (W15),FC Barcelona › ESP (8),3-0 (*),1-0,IFK Goteborg › SWE (8),3-3 (agg.),3-0 (a.e.t.),5-4 (pen.),
Final,(Wed) 7 May 1986 (W18),Steaua Bucuresti › ROU (9),0-0 (*),0-0,FC Barcelona › ESP (9),,0-0 (a.e.t.),2-0 (pen.),
