Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),AC Sparta Praha › CZE (1),1-2,1-0,FC Barcelona › ESP (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),IA Akranes › ISL (1),1-3,1-0,Abderden › SCO (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),FC Porto › POR (1),2-0,1-0,AFC Ajax › NED (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),BFC Dynamo › GER (1),0-2,0-2,Austria Wien › AUT (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Gornik Zabrze › POL (1),1-2,1-1,Bayern München › GER (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Budapest Honved SE › HUN (1),2-0,1-0,Shamrock Rovers › IRL (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),FC Kuusysi › FIN (1),2-1,1-1,FK Sarajevo › BIH (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Girondins Bordeaux › FRA (1),2-3,0-1,Fenerbahçe İstanbul SK › TUR (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Hellas Verona › ITA (1),3-1,1-0,PAOK FC › GRE (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),IFK Goteborg › SWE (1),3-2,1-1,Trakia Plovdiv › BUL (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Jeunesse Esch › LUX (1),0-5,0-3,Juventus › ITA (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Linfield › NIR (1),2-2,1-2,Servette Geneve › SUI (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Rabat Ajax › MLT (1),0-5,0-1,Omonia Nicosia › CYP (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Vejle BK › DEN (1),1-1,0-0,Steaua Bucuresti › ROU (1),,,,
Round 1 | Leg 1,(Wed) 18 Sep 1985 (W37),Zenit St. Petersburg › RUS (1),2-0,0-0,Valerenga IF › NOR (1),,,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),FC Barcelona › ESP (2),0-1,0-1,AC Sparta Praha › CZE (2),2-2 (agg.),,,away goals
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Abderden › SCO (2),4-1,1-1,IA Akranes › ISL (2),7-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),AFC Ajax › NED (2),0-0,0-0,FC Porto › POR (2),0-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Austria Wien › AUT (2),2-1,0-0,BFC Dynamo › GER (2),4-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Bayern München › GER (2),4-1,1-1,Gornik Zabrze › POL (2),6-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Shamrock Rovers › IRL (2),1-3,0-0,Budapest Honved SE › HUN (2),1-5 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),FK Sarajevo › BIH (2),1-2,1-2,FC Kuusysi › FIN (2),2-4 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Fenerbahçe İstanbul SK › TUR (2),0-0,0-0,Girondins Bordeaux › FRA (2),3-2 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),PAOK FC › GRE (2),1-2,1-1,Hellas Verona › ITA (2),2-5 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Trakia Plovdiv › BUL (2),1-2,1-1,IFK Goteborg › SWE (2),3-5 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Juventus › ITA (2),4-1,1-0,Jeunesse Esch › LUX (2),9-1 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1985 (W39),Servette Geneve › SUI (2),2-1,1-1,Linfield › NIR (2),4-3 (agg.),,,
