Stage,Round,Leg,Group,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
,Round 1,,,(Wed) 17 Sep 1986 (W37),APOEL Nikosia (1),1-0,1-0,HJK Helsinki (1),,,CYP,FIN
,Round 1,,,(Wed) 17 Sep 1986 (W37),Avenir Beggen (1),0-3,0-1,Austria Wien (1),,,LUX,AUT
,Round 1,,,(Wed) 17 Sep 1986 (W37),PSV Eindhoven (1),0-2,0-0,Bayern München (1),,,NED,GER
,Round 1,,,(Wed) 17 Sep 1986 (W37),Beşiktaş İstanbul JK (1),2-0,0-0,Dinamo Tirana (1),,,TUR,ALB
,Round 1,,,(Wed) 17 Sep 1986 (W37),Orgryte IS (1),2-3,0-1,BFC Dynamo (1),,,SWE,GER
,Round 1,,,(Wed) 17 Sep 1986 (W37),Brondby IF (1),4-1,1-1,Budapest Honved SE (1),,,DEN,HUN
,Round 1,,,(Wed) 17 Sep 1986 (W37),BSC Young Boys (1),1-0,1-0,Real Madrid CF (1),,,SUI,ESP
,Round 1,,,(Wed) 17 Sep 1986 (W37),Shamrock Rovers (1),0-1,0-0,Celtic FC (1),,,IRL,SCO
,Round 1,,,(Wed) 17 Sep 1986 (W37),Crvena Zvezda (1),3-0,1-0,Panathinaikos FC (1),,,SRB,GRE
,Round 1,,,(Wed) 17 Sep 1986 (W37),PFC Beroe (1),1-1,0-0,Dinamo Kiev (1),,,BUL,UKR
,Round 1,,,(Wed) 17 Sep 1986 (W37),FC Porto (1),9-0,2-0,Rabat Ajax (1),,,POR,MLT
,Round 1,,,(Wed) 17 Sep 1986 (W37),RSC Anderlecht (1),2-0,2-0,Gornik Zabrze (1),,,BEL,POL
,Round 1,,,(Wed) 17 Sep 1986 (W37),Juventus (1),7-0,3-0,Valur Reykjavik (1),,,ITA,ISL
,Round 1,,,(Wed) 17 Sep 1986 (W37),Rosenborg BK (1),1-0,1-0,Linfield (1),,,NOR,NIR
,Round 1,,,(Wed) 17 Sep 1986 (W37),Paris Saint-Germain (1),2-2,1-2,TJ Vitkovice (1),,,FRA,CZE
,Round 1,,,(Tue) 30 Sep 1986 (W39),TJ Vitkovice (2),1-0,0-0,Paris Saint-Germain (2),,,CZE,FRA
,Round 1,,,(Wed) 1 Oct 1986 (W39),HJK Helsinki (2),3-2,2-1,APOEL Nikosia (2),,,FIN,CYP
,Round 1,,,(Wed) 1 Oct 1986 (W39),Austria Wien (2),3-0,1-0,Avenir Beggen (2),,,AUT,LUX
,Round 1,,,(Wed) 1 Oct 1986 (W39),Bayern München (2),0-0,0-0,PSV Eindhoven (2),,,GER,NED
,Round 1,,,(Wed) 1 Oct 1986 (W39),Dinamo Tirana (2),0-1,0-1,Beşiktaş İstanbul JK (2),,,ALB,TUR
,Round 1,,,(Wed) 1 Oct 1986 (W39),BFC Dynamo (2),4-1,2-1,Orgryte IS (2),,,GER,SWE
,Round 1,,,(Wed) 1 Oct 1986 (W39),Budapest Honved SE (2),2-2,1-0,Brondby IF (2),,,HUN,DEN
,Round 1,,,(Wed) 1 Oct 1986 (W39),Real Madrid CF (2),5-0,1-0,BSC Young Boys (2),,,ESP,SUI
,Round 1,,,(Wed) 1 Oct 1986 (W39),Celtic FC (2),2-0,1-0,Shamrock Rovers (2),,,SCO,IRL
,Round 1,,,(Wed) 1 Oct 1986 (W39),Panathinaikos FC (2),2-1,2-0,Crvena Zvezda (2),,,GRE,SRB
,Round 1,,,(Wed) 1 Oct 1986 (W39),Dinamo Kiev (2),2-0,1-0,PFC Beroe (2),,,UKR,BUL
,Round 1,,,(Wed) 1 Oct 1986 (W39),Rabat Ajax (2),0-1,0-0,FC Porto (2),,,MLT,POR
,Round 1,,,(Wed) 1 Oct 1986 (W39),Gornik Zabrze (2),1-1,0-0,RSC Anderlecht (2),,,POL,BEL
,Round 1,,,(Wed) 1 Oct 1986 (W39),Valur Reykjavik (2),0-4,0-3,Juventus (2),,,ISL,ITA
,Round 1,,,(Wed) 1 Oct 1986 (W39),Linfield (2),1-1,0-0,Rosenborg BK (2),,,NIR,NOR
,Round of 16,,,(Wed) 22 Oct 1986 (W42),Real Madrid CF (3),1-0,1-0,Juventus (3),,,ESP,ITA
,Round of 16,,,(Wed) 22 Oct 1986 (W42),Bayern München (3),2-0,1-0,Austria Wien (3),,,GER,AUT
,Round of 16,,,(Wed) 22 Oct 1986 (W42),Brondby IF (3),2-1,1-0,BFC Dynamo (3),,,DEN,GER
