Stage,Round,Leg,Group,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),AEK Athens (1),2-0,0-0,Rangers FC (1),,,GRE,SCO
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),Avenir Beggen (1),1-5,0-0,Galatasaray İstanbul AŞ (1),,,LUX,TUR
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),Silkeborg IF (1),0-0,0-0,Dinamo Kiev (1),,,DEN,UKR
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),Paris Saint-Germain (1),3-0,0-0,Dunakanyar-Vac (1),,,FRA,HUN
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),Legia Warsaw (1),0-1,0-0,Hajduk Split (1),,,POL,CRO
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),Sparta Praha (1),1-0,0-0,IFK Goteborg (1),,,CZE,SWE
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),Maccabi Haifa (1),1-2,0-0,FC RB Salzburg (1),,,ISR,AUT
Qualifying,Preliminary Round,1,,(Wed) 10 Aug 1994 (W32),Steaua Bucuresti (1),4-1,0-0,Servette Geneve (1),,,ROU,SUI
Qualifying,Preliminary Round,2,,(Wed) 24 Aug 1994 (W34),Servette Geneve (2),1-1,0-0,Steaua Bucuresti (2),,,SUI,ROU
Qualifying,Preliminary Round,2,,(Wed) 24 Aug 1994 (W34),Galatasaray İstanbul AŞ (2),4-0,0-0,Avenir Beggen (2),,,TUR,LUX
Qualifying,Preliminary Round,2,,(Wed) 24 Aug 1994 (W34),Dinamo Kiev (2),3-1,0-0,Silkeborg IF (2),,,UKR,DEN
Qualifying,Preliminary Round,2,,(Wed) 24 Aug 1994 (W34),Dunakanyar-Vac (2),1-2,0-0,Paris Saint-Germain (2),,,HUN,FRA
Qualifying,Preliminary Round,2,,(Wed) 24 Aug 1994 (W34),Hajduk Split (2),4-0,0-0,Legia Warsaw (2),,,CRO,POL
Qualifying,Preliminary Round,2,,(Wed) 24 Aug 1994 (W34),IFK Goteborg (2),2-0,0-0,Sparta Praha (2),,,SWE,CZE
Qualifying,Preliminary Round,2,,(Wed) 24 Aug 1994 (W34),FC RB Salzburg (2),3-1,0-0,Maccabi Haifa (2),,,AUT,ISR
