Stage,Round,Leg,Group,Date,Team 1,FT,HT,Team 2,ET,P,Country 1,Country 2
,Round 1,,,(Wed) 4 Sep 1957 (W35),Rangers FC (1),3-1,1-1,AS Saint-Etienne (1),,,SCO,FRA
,Round 1,,,(Wed) 4 Sep 1957 (W35),CDNA Sofia (1),2-1,2-0,Budapesti Vasas (1),,,BUL,HUN
,Round 1,,,(Thu) 5 Sep 1957 (W35),Stade Dudelange (1),0-5,0-2,Crvena Zvezda (1),,,LUX,SRB
,Round 1,,,(Wed) 11 Sep 1957 (W36),Gwardia Warszawa (1),3-1,0-0,SC Wismut Karl-Marx-Stadt (1),,,POL,GER
,Round 1,,,(Wed) 11 Sep 1957 (W36),Aarhus GF (1),0-0,0-0,Glenavon FC (1),,,DEN,NIR
,Round 1,,,(Thu) 19 Sep 1957 (W37),Sevilla FC (1),3-1,0-0,SL Benfica (1),,,ESP,POR
,Round 1,,,(Wed) 25 Sep 1957 (W38),Glenavon FC (2),0-3,0-3,Aarhus GF (2),,,NIR,DEN
,Round 1,,,(Wed) 25 Sep 1957 (W38),AS Saint-Etienne (2),2-1,1-0,Rangers FC (2),,,FRA,SCO
,Round 1,,,(Wed) 25 Sep 1957 (W38),Shamrock Rovers (1),0-6,0-1,Manchester United FC (1),,,IRL,ENG
,Round 1,,,(Thu) 26 Sep 1957 (W38),SL Benfica (2),0-0,0-0,Sevilla FC (2),,,POR,ESP
,Round 1,,,(Wed) 2 Oct 1957 (W39),AC Milan (1),4-1,2-0,Rapid Wien (1),,,ITA,AUT
,Round 1,,,(Wed) 2 Oct 1957 (W39),Crvena Zvezda (2),9-1,7-1,Stade Dudelange (2),,,SRB,LUX
,Round 1,,,(Wed) 2 Oct 1957 (W39),Manchester United FC (2),3-2,2-0,Shamrock Rovers (2),,,ENG,IRL
,Round 1,,,(Thu) 3 Oct 1957 (W39),Budapesti Vasas (2),6-1,2-1,CDNA Sofia (2),,,HUN,BUL
,Round 1,,,(Wed) 9 Oct 1957 (W40),Rapid Wien (2),5-2,2-1,AC Milan (2),,,AUT,ITA
,Round 1,,,(Sun) 13 Oct 1957 (W40),SC Wismut Karl-Marx-Stadt (2),3-1,2-0,Gwardia Warszawa (2),,,GER,POL
,Round 1,,,(Tue) 15 Oct 1957 (W41),SC Wismut Karl-Marx-Stadt (3),1-1,0-1,Gwardia Warszawa (3),1-1 (a.e.t.),,GER,POL
,Round 1,,,(Wed) 30 Oct 1957 (W43),AC Milan (3),4-2,2-1,Rapid Wien (3),,,ITA,AUT
,Round of 16,,,(Thu) 31 Oct 1957 (W43),Royal Antwerp FC (1),1-2,0-1,Real Madrid CF (1),,,BEL,ESP
,Round of 16,,,(Sat) 2 Nov 1957 (W43),IFK Norrkoping (1),2-2,0-0,Crvena Zvezda (3),,,SWE,SRB
,Round of 16,,,(Wed) 20 Nov 1957 (W46),SC Wismut Karl-Marx-Stadt (4),1-3,0-2,AFC Ajax (1),,,GER,NED
