Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 1,(Wed) 11 Sep 1963 (W36),Lyn Oslo › NOR (1),2-4,2-1,Borussia Dortmund › GER (1),3-7 (agg.),,,
Round 1 | Leg 1,(Wed) 11 Sep 1963 (W36),Dundalk › IRL (1),0-3,0-1,FC Zurich › SUI (1),2-4 (agg.),,,
Round 1 | Leg 1,(Wed) 11 Sep 1963 (W36),Galatasaray İstanbul AŞ › TUR (1),4-0,1-0,Ferencvaros › HUN (1),4-2 (agg.),,,
Round 1 | Leg 1,(Wed) 11 Sep 1963 (W36),Partizan Belgrade › SRB (1),3-0,0-0,Anorthosis Famagusta › CYP (1),6-1 (agg.),,,
Round 1 | Leg 1,(Wed) 11 Sep 1963 (W36),FK Partizani Tirana › ALB (1),1-0,1-0,Spartak Plovdiv › BUL (1),2-3 (agg.),,,
Round 1 | Leg 1,(Sun) 15 Sep 1963 (W36),Dukla Praha › CZE (1),6-0,2-0,Valletta › MLT (1),8-0 (agg.),,,
Round 1 | Leg 1,(Wed) 18 Sep 1963 (W37),AS Monaco › FRA (1),7-2,5-0,AEK Athens › GRE (1),8-3 (agg.),,,
Round 1 | Leg 1,(Wed) 18 Sep 1963 (W37),Gornik Zabrze › POL (1),1-0,0-0,Austria Wien › AUT (1),3-2 (agg.),,,
Round 1 | Leg 1,(Wed) 18 Sep 1963 (W37),Everton FC › ENG (1),0-0,0-0,Internazionale › ITA (1),0-1 (agg.),,,
Round 1 | Leg 1,(Wed) 18 Sep 1963 (W37),Dinamo Bucuresti › ROU (1),2-0,1-0,SC Motor Jena › GER (1),3-0 (agg.),,,
Round 1 | Leg 2,(Wed) 25 Sep 1963 (W38),SC Motor Jena › GER (2),0-1,0-0,Dinamo Bucuresti › ROU (2),0-3 (agg.),,,
Round 1 | Leg 2,(Wed) 25 Sep 1963 (W38),FC Zurich › SUI (2),1-2,0-1,Dundalk › IRL (2),4-2 (agg.),,,
Round 1 | Leg 1,(Wed) 25 Sep 1963 (W38),Esbjerg fB › DEN (1),3-4,2-1,PSV Eindhoven › NED (1),4-11 (agg.),,,
Round 1 | Leg 2,(Wed) 25 Sep 1963 (W38),Internazionale › ITA (2),1-0,0-0,Everton FC › ENG (2),1-0 (agg.),,,
Round 1 | Leg 1,(Wed) 25 Sep 1963 (W38),Haka Valkeakoski › FIN (1),4-1,2-1,Jeunesse Esch › LUX (1),4-5 (agg.),,,
Round 1 | Leg 1,(Wed) 25 Sep 1963 (W38),Rangers FC › SCO (1),0-1,0-0,Real Madrid CF › ESP (1),0-7 (agg.),,,
Round 1 | Leg 1,(Wed) 25 Sep 1963 (W38),Lisburn Distillery › NIR (1),3-3,2-1,SL Benfica › POR (1),3-8 (agg.),,,
Round 1 | Leg 1,(Wed) 25 Sep 1963 (W38),Standard Liege › BEL (1),1-0,1-0,IFK Norrkoping › SWE (1),1-2 (agg.),,,
Round 1 | Leg 2,(Sun) 29 Sep 1963 (W38),Valletta › MLT (2),0-2,0-0,Dukla Praha › CZE (2),0-8 (agg.),,,
Round 1 | Leg 2,(Tue) 1 Oct 1963 (W39),Anorthosis Famagusta › CYP (2),1-3,1-1,Partizan Belgrade › SRB (2),1-6 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1963 (W39),AEK Athens › GRE (2),1-1,0-0,AS Monaco › FRA (2),3-8 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1963 (W39),Austria Wien › AUT (2),1-0,0-0,Gornik Zabrze › POL (2),2-3 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1963 (W39),Borussia Dortmund › GER (2),3-1,1-0,Lyn Oslo › NOR (2),7-3 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1963 (W39),SL Benfica › POR (2),5-0,2-0,Lisburn Distillery › NIR (2),8-3 (agg.),,,
Round 1 | Leg 2,(Wed) 2 Oct 1963 (W39),Spartak Plovdiv › BUL (2),3-1,2-1,FK Partizani Tirana › ALB (2),3-2 (agg.),,,
Round 1 | Leg 2,(Thu) 3 Oct 1963 (W39),IFK Norrkoping › SWE (2),2-0,1-0,Standard Liege › BEL (2),2-1 (agg.),,,
Round 1 | Leg 2,(Wed) 9 Oct 1963 (W40),PSV Eindhoven › NED (2),7-1,4-1,Esbjerg fB › DEN (2),11-4 (agg.),,,
Round 1 | Replay,(Wed) 9 Oct 1963 (W40),Austria Wien › AUT (3),1-2,0-2,Gornik Zabrze › POL (3),2-3 (agg.),,,
Round 1 | Leg 2,(Wed) 9 Oct 1963 (W40),Jeunesse Esch › LUX (2),4-0,2-0,Haka Valkeakoski › FIN (2),5-4 (agg.),,,
Round 1 | Leg 2,(Wed) 9 Oct 1963 (W40),Real Madrid CF › ESP (2),6-0,4-0,Rangers FC › SCO (2),7-0 (agg.),,,
Round 1 | Leg 2,(Sat) 12 Oct 1963 (W40),Ferencvaros › HUN (2),2-0,1-0,Galatasaray İstanbul AŞ › TUR (2),2-4 (agg.),,,
Round of 16 | Leg 1,(Wed) 6 Nov 1963 (W44),SL Benfica › POR (3),2-1,0-0,Borussia Dortmund › GER (3),2-6 (agg.),,,
Round of 16 | Leg 1,(Wed) 13 Nov 1963 (W45),Dinamo Bucuresti › ROU (3),1-3,0-2,Real Madrid CF › ESP (3),4-8 (agg.),,,
Round of 16 | Leg 1,(Wed) 13 Nov 1963 (W45),Gornik Zabrze › POL (4),2-0,1-0,Dukla Praha › CZE (3),3-4 (agg.),,,
Round of 16 | Leg 1,(Wed) 13 Nov 1963 (W45),Spartak Plovdiv › BUL (3),0-1,0-0,PSV Eindhoven › NED (3),0-1 (agg.),,,
Round of 16 | Leg 1,(Thu) 14 Nov 1963 (W45),FC Zurich › SUI (3),2-0,1-0,Galatasaray İstanbul AŞ › TUR (3),3-3 (agg.),,,
Round of 16 | Leg 2,(Mon) 18 Nov 1963 (W46),Real Madrid CF › ESP (4),5-3,2-1,Dinamo Bucuresti › ROU (4),8-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 20 Nov 1963 (W46),Dukla Praha › CZE (4),4-1,2-0,Gornik Zabrze › POL (5),4-3 (agg.),,,
Round of 16 | Leg 1,(Wed) 20 Nov 1963 (W46),Jeunesse Esch › LUX (3),2-1,1-1,Partizan Belgrade › SRB (3),4-7 (agg.),,,
Round of 16 | Leg 2,(Wed) 27 Nov 1963 (W47),Galatasaray İstanbul AŞ › TUR (4),2-0,1-0,FC Zurich › SUI (4),3-3 (agg.),,,
