Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round of 16 | Leg 1,(Wed) 27 Nov 1963 (W47),IFK Norrkoping › SWE (3),1-1,0-0,AC Milan › ITA (1),3-6 (agg.),,,
Round of 16 | Leg 1,(Wed) 27 Nov 1963 (W47),Internazionale › ITA (3),1-0,0-0,AS Monaco › FRA (3),4-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 27 Nov 1963 (W47),Partizan Belgrade › SRB (4),6-2,3-1,Jeunesse Esch › LUX (4),7-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 27 Nov 1963 (W47),PSV Eindhoven › NED (4),0-0,0-0,Spartak Plovdiv › BUL (4),1-0 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Dec 1963 (W48),AC Milan › ITA (2),5-2,3-1,IFK Norrkoping › SWE (4),6-3 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Dec 1963 (W48),AS Monaco › FRA (4),1-3,0-2,Internazionale › ITA (4),1-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 4 Dec 1963 (W48),Borussia Dortmund › GER (4),5-0,3-0,SL Benfica › POR (4),6-2 (agg.),,,
Round of 16 | Replay,(Wed) 11 Dec 1963 (W49),FC Zurich › SUI (5),1-1 (*),0-0,Galatasaray İstanbul AŞ › TUR (5),3-3 (agg.),2-2 (a.e.t.),,coin toss
Quarterfinals | Leg 1,(Wed) 29 Jan 1964 (W4),Real Madrid CF › ESP (5),4-1,2-0,AC Milan › ITA (3),4-3 (agg.),,,
Quarterfinals | Leg 2,(Thu) 13 Feb 1964 (W6),AC Milan › ITA (4),2-0,1-0,Real Madrid CF › ESP (6),3-4 (agg.),,,
Quarterfinals | Leg 1,(Wed) 26 Feb 1964 (W8),Partizan Belgrade › SRB (5),0-2,0-0,Internazionale › ITA (5),1-4 (agg.),,,
Quarterfinals | Leg 1,(Wed) 4 Mar 1964 (W9),Dukla Praha › CZE (5),0-4,0-1,Borussia Dortmund › GER (5),3-5 (agg.),,,
Quarterfinals | Leg 1,(Wed) 4 Mar 1964 (W9),PSV Eindhoven › NED (5),1-0,0-0,FC Zurich › SUI (6),2-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 4 Mar 1964 (W9),Internazionale › ITA (6),2-1,2-0,Partizan Belgrade › SRB (6),4-1 (agg.),,,
Quarterfinals | Leg 2,(Wed) 11 Mar 1964 (W10),FC Zurich › SUI (7),3-1,2-1,PSV Eindhoven › NED (6),3-2 (agg.),,,
Quarterfinals | Leg 2,(Wed) 18 Mar 1964 (W11),Borussia Dortmund › GER (6),1-3,1-1,Dukla Praha › CZE (6),5-3 (agg.),,,
Semifinals | Leg 1,(Wed) 15 Apr 1964 (W15),Borussia Dortmund › GER (7),2-2,2-2,Internazionale › ITA (7),2-4 (agg.),,,
Semifinals | Leg 1,(Wed) 15 Apr 1964 (W15),FC Zurich › SUI (8),1-2,0-2,Real Madrid CF › ESP (7),1-8 (agg.),,,
Semifinals | Leg 2,(Wed) 29 Apr 1964 (W17),Real Madrid CF › ESP (8),6-0,3-0,FC Zurich › SUI (9),8-1 (agg.),,,
Semifinals | Leg 2,(Wed) 29 Apr 1964 (W17),Internazionale › ITA (8),2-0,0-0,Borussia Dortmund › GER (8),4-2 (agg.),,,
Final,(Wed) 27 May 1964 (W21),Internazionale › ITA (9),3-1,0-0,Real Madrid CF › ESP (9),,,,
