Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Prelim. Round | Leg 1,(Wed) 29 Aug 1979 (W35),Dundalk › IRL (1),1-1,0-0,Linfield › NIR (1),,,,
Prelim. Round | Leg 2,(Wed) 5 Sep 1979 (W36),Linfield › NIR (2),0-2,0-0,Dundalk › IRL (2),1-3 (agg.),,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),FC Porto › POR (1),0-0,0-0,AC Milan › ITA (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Arges Pitesti › ROU (1),3-0,0-0,AEK Athens › GRE (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),HJK Helsinki › FIN (1),1-8,0-4,AFC Ajax › NED (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Vejle BK › DEN (1),3-2,2-1,Austria Wien › AUT (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),BFC Dynamo › GER (1),4-1,3-0,Ruch Chorzow › POL (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Liverpool FC › ENG (1),2-1,2-1,Dinamo Tbilisi › GEO (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Ujpesti Dozsa SC › HUN (1),3-2,1-1,Dukla Praha › CZE (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Dundalk › IRL (3),2-0,1-0,Hibernians › MLT (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Hajduk Split › CRO (1),1-0,0-0,Trabzonspor AŞ › TUR (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Valur Reykjavik › ISL (1),0-3,0-2,Hamburger SV › GER (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),IK Start › NOR (1),1-2,0-1,RC Strasbourg › FRA (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Servette Geneve › SUI (1),3-1,1-1,KSK Beveren › BEL (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Levski Sofia › BUL (1),0-1,0-1,Real Madrid CF › ESP (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Nottingham Forest FC › ENG (1),2-0,0-0,Osters IF › SWE (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),Red Boys Differdange › LUX (1),2-1,1-1,Omonia Nicosia › CYP (1),,,,
Round 1 | Leg 1,(Wed) 19 Sep 1979 (W38),FK Partizani Tirana › ALB (1),1-0,1-0,Celtic FC › SCO (1),,,,
Round 1 | Leg 2,(Wed) 26 Sep 1979 (W39),Hibernians › MLT (2),1-0,0-0,Dundalk › IRL (4),1-2 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),AC Milan › ITA (2),0-1,0-0,FC Porto › POR (2),0-1 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),AEK Athens › GRE (2),2-0,2-0,Arges Pitesti › ROU (2),2-3 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),AFC Ajax › NED (2),8-1,4-0,HJK Helsinki › FIN (2),16-2 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Austria Wien › AUT (2),1-1,0-1,Vejle BK › DEN (2),3-4 (agg.),,,
