Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Ruch Chorzow › POL (2),0-0,0-0,BFC Dynamo › GER (2),1-4 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Dinamo Tbilisi › GEO (2),3-0,0-0,Liverpool FC › ENG (2),4-2 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Dukla Praha › CZE (2),2-0,1-0,Ujpesti Dozsa SC › HUN (2),4-3 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Trabzonspor AŞ › TUR (2),0-1,0-1,Hajduk Split › CRO (2),0-2 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Hamburger SV › GER (2),2-1,0-0,Valur Reykjavik › ISL (2),5-1 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),RC Strasbourg › FRA (2),4-0,2-0,IK Start › NOR (2),6-1 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),KSK Beveren › BEL (2),1-1,1-1,Servette Geneve › SUI (2),2-4 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Real Madrid CF › ESP (2),2-0,2-0,Levski Sofia › BUL (2),3-0 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Osters IF › SWE (2),1-1,0-0,Nottingham Forest FC › ENG (2),1-3 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Omonia Nicosia › CYP (2),6-1,4-1,Red Boys Differdange › LUX (2),7-3 (agg.),,,
Round 1 | Leg 2,(Wed) 3 Oct 1979 (W40),Celtic FC › SCO (2),4-1,4-1,FK Partizani Tirana › ALB (2),4-2 (agg.),,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),FC Porto › POR (3),2-1,2-0,Real Madrid CF › ESP (3),,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),AFC Ajax › NED (3),10-0,3-0,Omonia Nicosia › CYP (3),,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),Nottingham Forest FC › ENG (3),2-0,2-0,Arges Pitesti › ROU (3),,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),BFC Dynamo › GER (3),2-1,2-0,Servette Geneve › SUI (3),,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),Celtic FC › SCO (3),3-2,3-1,Dundalk › IRL (5),,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),Hamburger SV › GER (3),3-1,1-1,Dinamo Tbilisi › GEO (3),,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),Dukla Praha › CZE (3),1-0,1-0,RC Strasbourg › FRA (3),,,,
Round of 16 | Leg 1,(Wed) 24 Oct 1979 (W43),Vejle BK › DEN (3),0-3,0-1,Hajduk Split › CRO (3),,,,
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),Real Madrid CF › ESP (4),1-0,0-0,FC Porto › POR (4),(a) 2-2 (agg.),,,Away Goals (1)
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),Omonia Nicosia › CYP (4),4-0,3-0,AFC Ajax › NED (4),4-10 (agg.),,,
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),Arges Pitesti › ROU (4),1-2,0-2,Nottingham Forest FC › ENG (4),1-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),Servette Geneve › SUI (4),2-2,0-1,BFC Dynamo › GER (4),3-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),Dundalk › IRL (6),0-0,0-0,Celtic FC › SCO (4),2-3 (agg.),,,
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),Dinamo Tbilisi › GEO (4),2-3,2-2,Hamburger SV › GER (4),3-6 (agg.),,,
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),RC Strasbourg › FRA (4),1-0 (*),0-0,Dukla Praha › CZE (4),1-1 (agg.),2-0 (a.e.t.),,
Round of 16 | Leg 2,(Wed) 7 Nov 1979 (W45),Hajduk Split › CRO (4),1-2,0-1,Vejle BK › DEN (4),4-2 (agg.),,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1980 (W9),Hamburger SV › GER (5),1-0,1-0,Hajduk Split › CRO (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1980 (W9),RC Strasbourg › FRA (5),0-0,0-0,AFC Ajax › NED (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1980 (W9),Nottingham Forest FC › ENG (5),0-1,0-0,BFC Dynamo › GER (5),,,,
Quarterfinals | Leg 1,(Wed) 5 Mar 1980 (W9),Celtic FC › SCO (5),2-0,0-0,Real Madrid CF › ESP (5),,,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1980 (W11),Hajduk Split › CRO (6),3-2,1-2,Hamburger SV › GER (6),(a) 3-3 (agg.),,,Away Goals (2)
Quarterfinals | Leg 2,(Wed) 19 Mar 1980 (W11),AFC Ajax › NED (6),4-0,2-0,RC Strasbourg › FRA (6),4-0 (agg.),,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1980 (W11),BFC Dynamo › GER (6),1-3,0-3,Nottingham Forest FC › ENG (6),2-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 19 Mar 1980 (W11),Real Madrid CF › ESP (6),3-0,1-0,Celtic FC › SCO (6),3-2 (agg.),,,
Semifinals | Leg 1,(Wed) 9 Apr 1980 (W14),Nottingham Forest FC › ENG (7),2-0,1-0,AFC Ajax › NED (7),,,,
Semifinals | Leg 1,(Wed) 9 Apr 1980 (W14),Real Madrid CF › ESP (7),2-0,0-0,Hamburger SV › GER (7),,,,
Semifinals | Leg 2,(Wed) 23 Apr 1980 (W16),AFC Ajax › NED (8),1-0,0-0,Nottingham Forest FC › ENG (8),1-2 (agg.),,,
Semifinals | Leg 2,(Wed) 23 Apr 1980 (W16),Hamburger SV › GER (8),5-1,4-1,Real Madrid CF › ESP (8),5-3 (agg.),,,
Final,(Wed) 28 May 1980 (W21),Nottingham Forest FC › ENG (9),1-0,0-0,Hamburger SV › GER (9),,,,
